"Kod";"Nazwa";"saldo migracji na 1000 osób;ogółem;2016;[osoba]";"saldo migracji na 1000 osób;ogółem;2017;[osoba]";"saldo migracji na 1000 osób;ogółem;2018;[osoba]";"saldo migracji na 1000 osób;ogółem;2019;[osoba]";
1021032;"Dmosin (2)";0,4;1,8;0,2;0,0;
1021042;"Jeżów (2)";3,2;1,5;1,8;2,1;
1021052;"Rogów (2)";2,3;-0,6;-3,8;0,8;
1061011;"Łódź (1)";-1,2;-1,8;-1,7;-1,6;
1062011;"Piotrków Trybunalski (1)";-2,5;-2,2;-5,2;-3,8;
1063011;"Skierniewice (1)";-2,2;-3,0;-2,0;-3,0;
1201011;"Bochnia (1)";-1,9;-4,5;-3,6;-7,4;
1201022;"Bochnia (2)";3,4;2,4;2,0;3,1;
1201032;"Drwinia (2)";-1,1;1,1;-0,9;-4,1;
1201042;"Lipnica Murowana (2)";-0,5;-3,4;-5,5;-0,2;
1201052;"Łapanów (2)";3,6;-0,4;7,0;0,2;
1201063;"Nowy Wiśnicz (3)";1,2;4,0;1,1;4,0;
1201072;"Rzezawa (2)";0,0;5,3;1,0;1,5;
1201082;"Trzciana (2)";2,0;0,4;1,3;3,0;
1201092;"Żegocina (2)";0,6;3,8;-2,5;-2,3;
1202012;"Borzęcin (2)";-1,0;1,8;3,2;-4,0;
1202023;"Brzesko (3)";-0,2;-2,3;-1,8;-0,5;
1202033;"Czchów (3)";0,8;-3,4;-2,5;-0,2;
1202042;"Dębno (2)";0,6;0,5;-2,0;-0,3;
1202052;"Gnojnik (2)";2,2;1,6;5,1;-4,6;
1202062;"Iwkowa (2)";-3,8;4,4;-3,0;0,6;
1202072;"Szczurowa (2)";-1,8;-1,3;-5,2;-2,3;
1203013;"Alwernia (3)";-0,6;1,7;2,2;-2,8;
1203022;"Babice (2)";3,7;2,7;6,0;-1,2;
1203033;"Chrzanów (3)";-3,6;-2,4;-3,1;-4,3;
1203043;"Libiąż (3)";-3,4;-3,8;-1,9;-2,9;
1203053;"Trzebinia (3)";0,8;0,8;-1,0;0,2;
1204012;"Bolesław (2)";0,4;-6,2;-3,7;-10,1;
1204023;"Dąbrowa Tarnowska (3)";1,7;-1,3;0,8;-3,0;
1204032;"Gręboszów (2)";-4,4;-6,9;1,2;-3,6;
1204042;"Mędrzechów (2)";0,3;-3,4;-4,6;-3,2;
1204052;"Olesno (2)";1,3;1,4;-4,3;5,2;
1204062;"Radgoszcz (2)";-0,8;1,3;-3,4;-1,6;
1204073;"Szczucin (3)";-4,3;-1,1;-3,1;-1,8;
1205011;"Gorlice (1)";-5,1;-4,6;-5,9;-5,1;
1205023;"Biecz (3)";-2,7;-1,5;-3,6;-3,3;
1205033;"Bobowa (3)";-2,9;-3,7;-4,4;-4,1;
1205042;"Gorlice (2)";-0,5;-0,1;1,2;-0,9;
1205052;"Lipinki (2)";0,0;-0,6;1,3;-3,5;
1205062;"Łużna (2)";1,7;-2,5;0,6;-0,8;
1205072;"Moszczenica (2)";3,9;0,4;-6,7;7,1;
1205082;"Ropa (2)";2,4;1,1;1,3;-1,8;
1205092;"Sękowa (2)";0,2;-0,8;3,6;-2,0;
1205102;"Uście Gorlickie (2)";-1,8;0,6;-3,8;-3,1;
1206012;"Czernichów (2)";8,1;7,2;3,7;5,9;
1206022;"Igołomia-Wawrzeńczyce (2)";-0,1;0,3;2,2;-0,1;
1206032;"Iwanowice (2)";5,3;6,9;2,8;3,7;
1206042;"Jerzmanowice-Przeginia (2)";3,5;3,9;0,7;2,6;
1206052;"Kocmyrzów-Luborzyca (2)";11,2;10,2;17,9;14,9;
1206063;"Krzeszowice (3)";-0,1;1,7;-1,1;-0,7;
1206072;"Liszki (2)";6,6;4,6;5,7;6,0;
1206082;"Michałowice (2)";12,5;17,4;13,6;17,9;
1206092;"Mogilany (2)";10,7;12,0;11,1;9,4;
1206103;"Skała (3)";3,1;4,1;1,3;2,2;
1206113;"Skawina (3)";1,8;0,8;1,7;2,3;
1206123;"Słomniki (3)";-0,6;0,3;0,3;-1,2;
1206132;"Sułoszowa (2)";-3,6;-2,2;-3,1;-3,1;
1206143;"Świątniki Górne (3)";5,8;5,8;8,6;9,2;
1206152;"Wielka Wieś (2)";25,5;30,8;26,2;21,8;
1206162;"Zabierzów (2)";10,4;10,9;9,1;10,5;
1206172;"Zielonki (2)";16,6;20,2;14,4;20,5;
1207011;"Limanowa (1)";-2,8;-6,9;-0,6;-6,3;
1207021;"Mszana Dolna (1)";3,3;0,0;-4,6;-4,2;
1207032;"Dobra (2)";1,4;0,6;-2,5;1,1;
1207042;"Jodłownik (2)";-0,4;-3,2;-1,6;-1,3;
1207052;"Kamienica (2)";-5,6;0,5;-0,5;-1,7;
1207062;"Laskowa (2)";-4,5;-0,4;-0,7;-2,9;
1207072;"Limanowa (2)";1,3;2,5;1,2;-0,9;
1207082;"Łukowica (2)";-1,3;-1,9;-4,8;-1,5;
1207092;"Mszana Dolna (2)";1,9;-1,8;-0,6;-3,7;
1207102;"Niedźwiedź (2)";-1,6;-1,8;-4,5;-3,8;
1207112;"Słopnice (2)";2,6;0,3;-3,4;0,3;
1207122;"Tymbark (2)";-0,3;-2,9;-4,7;-3,0;
1208012;"Charsznica (2)";0,4;0,3;1,9;-1,2;
1208022;"Gołcza (2)";1,6;-4,6;-2,3;3,3;
1208032;"Kozłów (2)";3,4;-1,3;-0,6;-6,1;
1208042;"Książ Wielki (2)";-2,1;2,7;0,8;-1,0;
1208053;"Miechów (3)";-1,9;-0,3;0,9;-1,7;
1208062;"Racławice (2)";9,3;7,2;10,4;2,4;
1208072;"Słaboszów (2)";-2,2;0,8;-5,8;-6,0;
1209013;"Dobczyce (3)";-0,1;-0,4;0,6;0,5;
1209022;"Lubień (2)";1,0;-3,2;-0,9;2,9;
1209033;"Myślenice (3)";2,0;3,7;1,8;3,0;
1209042;"Pcim (2)";-3,7;0,7;2,7;-0,5;
1209052;"Raciechowice (2)";3,4;-1,6;5,5;2,7;
1209062;"Siepraw (2)";8,4;5,9;4,3;4,9;
1209073;"Sułkowice (3)";-0,1;-0,8;2,3;1,7;
1209082;"Tokarnia (2)";0,3;-0,5;-1,1;-0,1;
1209092;"Wiśniowa (2)";1,2;2,2;2,6;1,3;
1210011;"Grybów (1)";-1,3;-5,6;-5,9;-4,0;
1210022;"Chełmiec (2)";5,8;4,3;7,0;3,3;
1210032;"Gródek nad Dunajcem (2)";-2,5;1,0;-2,2;-1,3;
1210042;"Grybów (2)";-1,2;1,7;0,8;-1,0;
1210052;"Kamionka Wielka (2)";2,2;3,2;-4,6;0,6;
1210062;"Korzenna (2)";2,2;-2,0;0,9;-3,2;
1210073;"Krynica-Zdrój (3)";-2,7;-4,8;-5,6;-6,1;
1210082;"Łabowa (2)";0,8;1,7;-1,2;0,2;
1210092;"Łącko (2)";0,0;-0,1;-3,2;-5,3;
1210102;"Łososina Dolna (2)";0,2;-0,4;-0,3;2,5;
1210113;"Muszyna (3)";-4,5;-2,3;-4,1;-4,6;
1210122;"Nawojowa (2)";1,2;1,5;1,4;-2,4;
1210133;"Piwniczna-Zdrój (3)";-1,8;-0,5;-5,2;-6,9;
1210142;"Podegrodzie (2)";1,0;-1,7;1,6;0,1;
1210152;"Rytro (2)";-7,0;-7,9;-1,6;-11,1;
1210163;"Stary Sącz (3)";-1,1;-1,9;0,5;-1,7;
1211011;"Nowy Targ (1)";-3,5;-1,3;-1,1;-2,2;
1211023;"Szczawnica (3)";-1,8;-3,3;-2,1;-6,8;
1211032;"Czarny Dunajec (2)";0,4;0,8;-0,5;0,9;
1211042;"Czorsztyn (2)";2,0;0,8;-1,7;-0,8;
1211052;"Jabłonka (2)";0,5;1,1;-2,7;-2,1;
1211062;"Krościenko nad Dunajcem (2)";-0,1;0,9;-1,2;3,4;
1211072;"Lipnica Wielka (2)";-4,7;-4,9;-2,0;-3,7;
1211082;"Łapsze Niżne (2)";-3,4;1,3;-0,8;0,0;
1211092;"Nowy Targ (2)";-0,1;0,0;0,8;-1,7;
1211102;"Ochotnica Dolna (2)";-1,1;-0,4;-0,9;-5,9;
1211112;"Raba Wyżna (2)";-0,7;0,8;-0,5;0,7;
1211123;"Rabka-Zdrój (3)";-0,5;-1,9;-1,5;-0,9;
1211132;"Spytkowice (2)";1,8;-1,6;5,3;7,7;
1211142;"Szaflary (2)";0,3;1,2;2,0;0,9;
1212011;"Bukowno (1)";-0,1;0,4;-3,5;-1,8;
1212032;"Bolesław (2)";-1,0;3,2;6,3;0,1;
1212042;"Klucze (2)";3,0;-0,9;0,8;0,3;
1212053;"Olkusz (3)";-2,3;-2,8;-5,8;-6,0;
1212062;"Trzyciąż (2)";0,0;-0,6;2,0;1,0;
1212073;"Wolbrom (3)";-2,7;-1,5;-2,3;-3,4;
1213011;"Oświęcim (1)";-2,4;-5,7;-5,5;-4,4;
1213023;"Brzeszcze (3)";-1,7;-2,1;-3,0;1,5;
1213033;"Chełmek (3)";0,1;-0,4;-1,1;1,5;
1213043;"Kęty (3)";-0,7;-0,1;-0,8;-2,6;
1213052;"Osiek (2)";-1,0;4,4;-2,1;1,6;
1213062;"Oświęcim (2)";3,3;5,1;5,9;5,4;
1213072;"Polanka Wielka (2)";1,6;-2,8;-5,8;-0,2;
1213082;"Przeciszów (2)";1,3;0,1;5,1;1,3;
1213093;"Zator (3)";-1,2;-2,8;-1,4;-0,8;
1214012;"Koniusza (2)";4,9;2,2;4,9;-0,9;
1214023;"Koszyce (3)";;;;-6,6;
1214033;"Nowe Brzesko (3)";-0,7;-0,3;0,9;-2,6;
1214042;"Pałecznica (2)";-2,7;-0,5;-4,7;-0,3;
1214053;"Proszowice (3)";-2,0;1,1;-0,9;-4,3;
1214062;"Radziemice (2)";-1,2;0,6;-8,2;-10,3;
1215011;"Jordanów (1)";-1,3;1,5;-1,3;-6,7;
1215021;"Sucha Beskidzka (1)";-3,8;-3,6;-9,5;-5,9;
1215032;"Budzów (2)";0,7;2,8;0,4;-1,3;
1215042;"Bystra-Sidzina (2)";2,5;0,0;-1,3;4,1;
1215052;"Jordanów (2)";0,5;2,8;1,1;-1,3;
1215063;"Maków Podhalański (3)";-1,7;-1,2;-1,2;-3,2;
1215072;"Stryszawa (2)";2,2;3,9;3,0;5,0;
1215082;"Zawoja (2)";1,8;1,0;0,4;-4,0;
1215092;"Zembrzyce (2)";-1,8;-3,9;5,5;-0,4;
1216013;"Ciężkowice (3)";-2,8;-2,1;-3,9;-3,3;
1216022;"Gromnik (2)";0,0;0,1;-1,9;-1,7;
1216032;"Lisia Góra (2)";3,3;3,0;5,0;2,6;
1216042;"Pleśna (2)";-2,4;-3,8;-1,5;-2,5;
1216053;"Radłów (3)";-2,1;-0,4;-3,3;-6,2;
1216063;"Ryglice (3)";-3,4;-3,3;-3,9;-3,7;
1216072;"Rzepiennik Strzyżewski (2)";-6,4;-4,0;-4,8;-4,3;
1216082;"Skrzyszów (2)";1,3;0,4;0,5;3,4;
1216092;"Tarnów (2)";5,8;7,2;4,2;6,4;
1216103;"Tuchów (3)";-3,6;-3,4;-2,4;-8,5;
1216112;"Wierzchosławice (2)";1,2;1,2;-1,4;1,1;
1216122;"Wietrzychowice (2)";3,8;3,5;5,7;-2,5;
1216133;"Wojnicz (3)";-1,2;0,9;-1,8;-3,3;
1216143;"Zakliczyn (3)";1,0;-1,3;1,5;3,4;
1216153;"Żabno (3)";0,4;-2,7;-2,9;-2,4;
1216162;"Szerzyny (2)";-2,6;-3,7;-4,1;-5,0;
1217011;"Zakopane (1)";-1,5;-0,9;0,6;-3,7;
1217022;"Biały Dunajec (2)";-0,4;-1,7;3,2;-2,8;
1217032;"Bukowina Tatrzańska (2)";1,2;-2,2;-0,4;0,8;
1217042;"Kościelisko (2)";4,1;2,2;2,6;3,4;
1217052;"Poronin (2)";-0,3;0,9;-2,4;-0,3;
1218013;"Andrychów (3)";-3,0;-3,2;-5,5;-3,3;
1218022;"Brzeźnica (2)";2,2;3,7;6,8;6,9;
1218033;"Kalwaria Zebrzydowska (3)";2,6;1,0;-2,5;-1,8;
1218042;"Lanckorona (2)";2,6;-0,5;0,2;-1,0;
1218052;"Mucharz (2)";4,4;2,9;10,5;0,5;
1218062;"Spytkowice (2)";-0,3;3,5;-1,2;-3,1;
1218072;"Stryszów (2)";4,7;1,3;0,4;3,8;
1218082;"Tomice (2)";4,5;3,6;5,0;-1,3;
1218093;"Wadowice (3)";-1,8;-2,0;-3,0;-2,0;
1218102;"Wieprz (2)";0,2;2,4;5,9;3,5;
1219012;"Biskupice (2)";12,1;10,8;13,3;9,7;
1219022;"Gdów (2)";2,5;5,7;4,8;2,2;
1219032;"Kłaj (2)";3,5;4,0;-0,4;6,6;
1219043;"Niepołomice (3)";17,7;20,3;15,8;18,9;
1219053;"Wieliczka (3)";12,3;13,2;14,7;14,7;
1261011;"Kraków (1)";2,4;2,6;6,1;9,0;
1262011;"Nowy Sącz (1)";-2,8;-3,0;-4,3;-2,9;
1263011;"Tarnów (1)";-3,7;-3,6;-4,0;-5,9;
1401013;"Białobrzegi (3)";-4,9;-2,6;-2,5;-5,0;
1401022;"Promna (2)";-2,0;5,9;-2,7;-6,3;
1401032;"Radzanów (2)";-1,0;0,3;-3,1;-4,9;
1401042;"Stara Błotnica (2)";3,6;2,3;-0,6;-1,7;
1401052;"Stromiec (2)";2,1;-3,0;1,4;-5,1;
1401063;"Wyśmierzyce (3)";-1,4;-4,6;-1,1;4,3;
1402011;"Ciechanów (1)";-3,9;-2,7;-1,2;-1,7;
1402022;"Ciechanów (2)";10,2;5,1;7,6;4,8;
1402033;"Glinojeck (3)";-0,7;-9,2;-8,8;-3,8;
1402042;"Gołymin-Ośrodek (2)";-3,6;-0,8;-6,0;-15,4;
1402052;"Grudusk (2)";-9,4;-1,4;-10,2;-5,8;
1402062;"Ojrzeń (2)";-1,2;-5,6;5,6;-4,0;
1402072;"Opinogóra Górna (2)";4,3;-2,0;-4,2;0,8;
1402082;"Regimin (2)";-2,0;0,4;1,2;-3,6;
1402092;"Sońsk (2)";-3,9;-5,1;-4,1;-4,3;
1403011;"Garwolin (1)";1,3;-1,3;2,2;0,2;
1403021;"Łaskarzew (1)";-9,2;-4,5;-5,7;-7,0;
1403032;"Borowie (2)";1,2;-0,4;-4,8;9,7;
1403042;"Garwolin (2)";2,2;0,0;-0,5;5,5;
1403052;"Górzno (2)";7,6;0,8;-3,8;-4,6;
1403062;"Łaskarzew (2)";-1,3;-7,6;-6,6;-1,5;
1403072;"Maciejowice (2)";-7,2;-5,4;-4,0;-5,2;
1403082;"Miastków Kościelny (2)";-7,3;-3,3;-3,9;-1,2;
1403092;"Parysów (2)";-4,9;1,0;3,4;-0,2;
1403103;"Pilawa (3)";-1,9;-0,5;-2,2;-0,8;
1403112;"Sobolew (2)";-4,5;-1,7;-5,1;-4,5;
1403122;"Trojanów (2)";-0,3;-0,7;-6,5;-8,1;
1403132;"Wilga (2)";-1,5;1,1;-6,2;-0,8;
1403143;"Żelechów (3)";-4,5;-4,6;-5,8;-10,5;
1404011;"Gostynin (1)";-3,3;-2,0;-1,3;-3,2;
1404022;"Gostynin (2)";1,8;0,0;-2,5;-1,7;
1404032;"Pacyna (2)";-7,1;0,3;-5,3;-5,7;
1404043;"Sanniki (3)";;;-5,3;-6,8;
1404052;"Szczawin Kościelny (2)";1,2;-8,5;-0,2;-0,8;
1405011;"Milanówek (1)";3,7;3,2;-1,2;9,4;
1405021;"Podkowa Leśna (1)";5,9;6,0;2,6;-3,4;
1405032;"Baranów (2)";11,1;4,6;5,5;4,9;
1405043;"Grodzisk Mazowiecki (3)";12,8;14,6;18,4;26,2;
1405052;"Jaktorów (2)";12,3;12,9;16,4;13,0;
1405062;"Żabia Wola (2)";18,7;15,4;18,4;27,7;
1406012;"Belsk Duży (2)";-3,3;-1,7;-2,1;-2,8;
1406022;"Błędów (2)";-2,1;-4,6;-5,8;-2,6;
1406032;"Chynów (2)";1,2;5,4;-2,1;-1,7;
1406042;"Goszczyn (2)";-5,4;-5,7;-2,0;-3,7;
1406053;"Grójec (3)";4,3;2,9;3,3;4,3;
1406062;"Jasieniec (2)";-0,6;-0,7;-1,7;2,0;
1406073;"Mogielnica (3)";-2,2;-0,2;-3,3;-0,3;
1406083;"Nowe Miasto nad Pilicą (3)";-1,3;-2,5;-5,1;-4,1;
1406092;"Pniewy (2)";1,3;8,2;6,7;-1,3;
1406113;"Warka (3)";0,5;1,2;-0,4;-1,0;
1407012;"Garbatka-Letnisko (2)";-1,9;0,0;-3,3;-4,4;
1407022;"Głowaczów (2)";-4,3;-3,0;-1,9;-4,6;
1407032;"Gniewoszów (2)";-6,8;-2,8;-0,8;-4,4;
1407042;"Grabów nad Pilicą (2)";-1,8;2,1;-1,0;0,0;
1407053;"Kozienice (3)";-4,4;-7,2;-4,9;-4,9;
1407062;"Magnuszew (2)";-0,4;-2,6;-0,7;-1,0;
1407072;"Sieciechów (2)";-3,5;0,0;-3,8;-9,5;
1408011;"Legionowo (1)";-1,4;-0,3;2,6;-0,6;
1408022;"Jabłonna (2)";9,3;11,5;15,4;17,7;
1408032;"Nieporęt (2)";18,5;12,1;6,4;14,3;
1408043;"Serock (3)";11,9;14,6;16,3;26,7;
1408052;"Wieliszew (2)";28,3;29,7;42,9;60,5;
1409012;"Chotcza (2)";-2,1;2,6;5,6;-2,1;
1409022;"Ciepielów (2)";-0,4;-2,1;-5,0;-2,7;
1409033;"Lipsko (3)";-2,8;-3,2;-5,5;-8,0;
1409042;"Rzeczniów (2)";-1,3;-5,4;-9,3;-2,1;
1409052;"Sienno (2)";0,3;-3,4;-1,5;-7,2;
1409062;"Solec nad Wisłą (2)";-4,3;-3,2;-5,6;0,8;
1410012;"Huszlew (2)";-5,2;-3,5;1,4;-2,5;
1410023;"Łosice (3)";-3,0;-3,1;-5,9;-5,1;
1410032;"Olszanka (2)";-7,6;-3,0;-9,7;-6,1;
1410042;"Platerów (2)";-4,2;-4,4;-3,7;-1,6;
1410052;"Sarnaki (2)";-6,1;-4,5;-9,2;-5,6;
1410062;"Stara Kornica (2)";-7,7;-9,7;-5,0;-7,3;
1411011;"Maków Mazowiecki (1)";-6,8;-7,5;-2,5;-7,6;
1411022;"Czerwonka (2)";2,2;0,7;-9,8;1,9;
1411032;"Karniewo (2)";-5,3;-1,1;-7,3;-3,1;
1411042;"Krasnosielc (2)";-1,5;-3,9;-3,9;-10,3;
1411052;"Młynarze (2)";-11,3;-1,7;-8,0;-14,4;
1411062;"Płoniawy-Bramura (2)";-5,2;-6,5;-5,5;-3,2;
1411073;"Różan (3)";-0,2;-2,9;-2,9;0,2;
1411082;"Rzewnie (2)";-1,9;0,4;-3,8;-3,8;
1411092;"Sypniewo (2)";-7,1;-0,9;-7,8;-15,3;
1411102;"Szelków (2)";0,3;-1,1;-3,3;-5,2;
1412011;"Mińsk Mazowiecki (1)";-0,4;0,6;6,1;0,0;
1412042;"Cegłów (2)";6,8;-0,8;4,4;-4,2;
1412052;"Dębe Wielkie (2)";11,0;18,2;12,2;12,7;
1412062;"Dobre (2)";2,0;2,8;-1,0;-1,7;
1412073;"Halinów (3)";12,7;7,4;13,0;8,5;
1412082;"Jakubów (2)";0,0;-0,2;5,7;0,6;
1412093;"Kałuszyn (3)";-2,7;-5,1;-2,9;1,0;
1412102;"Latowicz (2)";0,6;-6,2;-3,7;-1,1;
1412112;"Mińsk Mazowiecki (2)";15,0;7,3;5,0;8,9;
1412123;"Mrozy (3)";-2,1;3,2;-0,9;1,4;
1412132;"Siennica (2)";5,1;-1,1;-0,7;4,3;
1412142;"Stanisławów (2)";7,3;-2,2;3,3;1,8;
1412151;"Sulejówek (1)";1,6;6,4;4,6;8,0;
1413011;"Mława (1)";2,6;2,2;0,6;0,5;
1413022;"Dzierzgowo (2)";-0,3;-19,2;-2,6;-7,5;
1413032;"Lipowiec Kościelny (2)";-1,8;-7,2;-2,5;-5,4;
1413042;"Radzanów (2)";-1,5;-7,1;-2,7;-10,8;
1413052;"Strzegowo (2)";-4,3;-3,8;-4,2;-4,6;
1413062;"Stupsk (2)";-2,8;-8,5;-8,4;-0,4;
1413072;"Szreńsk (2)";-6,1;-5,0;-8,1;-12,7;
1413082;"Szydłowo (2)";-3,0;-3,2;-2,4;-5,7;
1413092;"Wieczfnia Kościelna (2)";-5,1;-4,3;-3,2;-11,1;
1413102;"Wiśniewo (2)";1,7;-5,4;-4,9;-4,9;
1414011;"Nowy Dwór Mazowiecki (1)";1,0;2,6;0,1;1,6;
1414022;"Czosnów (2)";1,8;5,8;4,9;5,0;
1414032;"Leoncin (2)";2,7;1,6;5,0;6,4;
1414043;"Nasielsk (3)";0,0;0,5;0,2;0,3;
1414052;"Pomiechówek (2)";6,2;6,7;4,7;3,9;
1414063;"Zakroczym (3)";-2,4;-1,0;-1,5;-4,5;
1415012;"Baranowo (2)";-3,8;-5,6;-7,8;-2,6;
1415022;"Czarnia (2)";-5,7;-17,2;-10,8;-5,9;
1415032;"Czerwin (2)";-2,5;-2,5;-2,5;0,2;
1415042;"Goworowo (2)";-3,2;-5,1;-6,2;-7,7;
1415052;"Kadzidło (2)";0,3;-1,4;-4,9;-2,2;
1415062;"Lelis (2)";3,1;2,9;2,5;1,5;
1415072;"Łyse (2)";-3,9;-2,7;-2,1;-5,7;
1415083;"Myszyniec (3)";-0,5;-3,3;-2,7;-5,8;
1415092;"Olszewo-Borki (2)";6,5;7,9;2,9;4,4;
1415102;"Rzekuń (2)";14,5;8,1;9,1;14,6;
1415112;"Troszyn (2)";-4,9;-4,5;-5,4;-7,1;
1416011;"Ostrów Mazowiecka (1)";-3,6;-4,8;-4,2;-8,0;
1416022;"Andrzejewo (2)";-4,5;-6,7;-7,2;-9,8;
1416032;"Boguty-Pianki (2)";-10,9;-2,6;-9,9;-6,2;
1416043;"Brok (3)";1,0;-1,7;-3,5;-4,2;
1416052;"Małkinia Górna (2)";-0,8;-5,4;-4,3;-3,2;
1416062;"Nur (2)";-6,4;-5,0;-9,9;-10,9;
1416072;"Ostrów Mazowiecka (2)";2,2;0,9;0,9;1,6;
1416082;"Stary Lubotyń (2)";-6,1;-2,9;-8,3;-7,0;
1416092;"Szulborze Wielkie (2)";-11,0;-14,7;0,6;-7,2;
1416102;"Wąsewo (2)";-7,7;-2,3;-5,3;-8,3;
1416112;"Zaręby Kościelne (2)";-0,3;-6,7;-5,9;-2,5;
1417011;"Józefów (1)";6,8;6,6;3,4;7,6;
1417021;"Otwock (1)";0,2;0,9;1,6;-2,7;
1417032;"Celestynów (2)";0,1;-2,3;0,6;1,8;
1417043;"Karczew (3)";-2,0;-2,1;-3,8;1,8;
1417052;"Kołbiel (2)";0,6;3,1;-2,3;3,8;
1417062;"Osieck (2)";-2,8;6,4;3,1;5,0;
1417072;"Sobienie-Jeziory (2)";0,2;-0,6;5,2;2,8;
1417082;"Wiązowna (2)";13,5;14,5;12,2;18,5;
1418013;"Góra Kalwaria (3)";5,7;5,6;6,9;9,8;
1418023;"Konstancin-Jeziorna (3)";2,3;3,8;2,3;4,5;
1418032;"Lesznowola (2)";20,3;24,5;37,4;37,5;
1418043;"Piaseczno (3)";12,2;11,2;11,6;13,7;
1418052;"Prażmów (2)";12,9;14,7;13,7;16,5;
1418063;"Tarczyn (3)";4,1;3,3;4,2;9,2;
1419012;"Bielsk (2)";2,9;-0,7;-0,5;-0,2;
1419022;"Bodzanów (2)";-3,4;-3,4;2,4;-0,4;
1419032;"Brudzeń Duży (2)";2,2;-0,4;1,4;-0,1;
1419042;"Bulkowo (2)";-5,2;-4,4;-10,5;-9,3;
1419053;"Drobin (3)";-3,9;-6,4;-7,4;-4,4;
1419063;"Gąbin (3)";1,2;2,2;1,3;2,0;
1419072;"Łąck (2)";2,2;5,4;-0,2;4,6;
1419082;"Mała Wieś (2)";0,5;-2,5;-6,1;-5,8;
1419092;"Nowy Duninów (2)";-0,8;-1,0;7,0;-3,0;
1419102;"Radzanowo (2)";4,5;5,5;4,0;6,5;
1419112;"Słubice (2)";-5,5;-4,2;-4,9;-4,5;
1419122;"Słupno (2)";22,6;26,2;15,5;16,4;
1419132;"Stara Biała (2)";12,1;5,8;5,9;3,7;
1419142;"Staroźreby (2)";-0,8;-5,7;-6,8;-10,9;
1419153;"Wyszogród (3)";-3,7;-4,6;-3,6;-2,0;
1420011;"Płońsk (1)";-1,2;-1,6;-3,6;-2,1;
1420021;"Raciąż (1)";-5,5;-4,5;-7,0;-8,9;
1420032;"Baboszewo (2)";-4,1;-2,0;-5,9;-0,8;
1420042;"Czerwińsk nad Wisłą (2)";-1,3;-0,3;-0,8;-2,9;
1420052;"Dzierzążnia (2)";-4,5;-12,4;-0,5;-10,1;
1420062;"Joniec (2)";8,4;6,1;14,0;3,0;
1420072;"Naruszewo (2)";-1,6;2,8;-1,6;-5,2;
1420082;"Nowe Miasto (2)";-0,6;5,1;-0,4;-1,7;
1420092;"Płońsk (2)";3,2;7,1;7,1;7,2;
1420102;"Raciąż (2)";-2,6;-5,5;-7,6;-9,4;
1420112;"Sochocin (2)";-0,2;-4,1;-0,2;-5,2;
1420122;"Załuski (2)";0,0;-0,4;-3,2;2,5;
1421011;"Piastów (1)";-1,8;1,1;-0,6;0,2;
1421021;"Pruszków (1)";3,9;2,9;6,5;6,3;
1421033;"Brwinów (3)";9,2;13,6;7,1;13,1;
1421042;"Michałowice (2)";8,3;10,4;12,7;14,2;
1421052;"Nadarzyn (2)";15,5;17,3;23,2;25,1;
1421062;"Raszyn (2)";1,0;1,6;1,2;4,6;
1422011;"Przasnysz (1)";-2,6;-4,3;-2,3;-4,5;
1422023;"Chorzele (3)";-4,0;-4,2;-4,9;-1,8;
1422032;"Czernice Borowe (2)";-4,7;-3,4;-8,3;-4,0;
1422042;"Jednorożec (2)";-8,2;-4,9;-3,1;-10,5;
1422052;"Krasne (2)";-10,0;-9,6;-12,1;-6,6;
1422062;"Krzynowłoga Mała (2)";-10,2;-8,6;-8,1;-5,2;
1422072;"Przasnysz (2)";-5,6;-4,9;-3,3;-7,3;
1423012;"Borkowice (2)";-1,2;-0,5;4,2;-0,5;
1423022;"Gielniów (2)";-6,3;3,7;-3,5;-0,7;
1423032;"Klwów (2)";-2,6;-3,2;2,4;-1,2;
1423042;"Odrzywół (2)";-1,0;-3,3;-5,8;-6,0;
1423052;"Potworów (2)";-3,7;-4,7;-0,2;-6,6;
1423063;"Przysucha (3)";-5,3;-4,1;-5,8;-7,7;
1423072;"Rusinów (2)";-0,9;-5,8;-2,1;-2,3;
1423082;"Wieniawa (2)";1,7;-0,4;-5,3;-2,8;
1424012;"Gzy (2)";-4,1;-0,8;0,5;-10,3;
1424022;"Obryte (2)";-1,4;-5,4;4,1;-0,4;
1424032;"Pokrzywnica (2)";0,0;1,4;3,8;3,8;
1424043;"Pułtusk (3)";4,5;3,6;2,7;3,2;
1424052;"Świercze (2)";-1,3;-2,8;-0,4;-1,7;
1424062;"Winnica (2)";-3,4;3,4;-3,2;-2,7;
1424072;"Zatory (2)";3,5;0,6;0,2;-3,5;
1425011;"Pionki (1)";-6,8;-5,5;-6,8;-9,5;
1425022;"Gózd (2)";2,4;3,1;5,9;1,3;
1425033;"Iłża (3)";-4,3;-3,6;-2,3;-2,8;
1425042;"Jastrzębia (2)";6,5;-2,2;0,7;-3,1;
1425052;"Jedlińsk (2)";3,1;2,9;3,5;1,0;
1425062;"Jedlnia-Letnisko (2)";3,2;5,3;6,2;7,7;
1425072;"Kowala (2)";2,3;3,0;2,4;2,9;
1425082;"Pionki (2)";-2,1;1,5;0,6;-1,9;
1425092;"Przytyk (2)";-1,6;-1,2;-3,6;-1,1;
1425103;"Skaryszew (3)";5,4;4,0;3,1;0,1;
