"Kod";"Nazwa";"ogółem;wodociąg;2019;[%]";"ogółem;kanalizacja;2019;[%]";"ogółem;gaz;2019;[%]";
1402082;"Regimin (2)";99,9;18,6;6,1;
1402092;"Sońsk (2)";79,0;28,3;0,0;
1403011;"Garwolin (1)";98,6;88,6;94,1;
1403021;"Łaskarzew (1)";92,6;56,0;44,3;
1403032;"Borowie (2)";96,6;61,4;20,4;
1403042;"Garwolin (2)";88,9;53,1;40,0;
1403052;"Górzno (2)";84,9;30,4;27,9;
1403062;"Łaskarzew (2)";73,3;18,0;20,8;
1403072;"Maciejowice (2)";56,7;18,2;12,2;
1403082;"Miastków Kościelny (2)";82,8;33,8;21,1;
1403092;"Parysów (2)";91,8;21,5;19,0;
1403103;"Pilawa (3)";94,2;67,7;51,7;
1403112;"Sobolew (2)";77,4;34,0;29,6;
1403122;"Trojanów (2)";82,8;0,0;0,0;
1403132;"Wilga (2)";95,2;14,0;0,7;
1403143;"Żelechów (3)";92,5;49,1;35,3;
1404011;"Gostynin (1)";87,5;81,8;10,6;
1404022;"Gostynin (2)";83,9;15,3;0,5;
1404032;"Pacyna (2)";89,1;22,5;0,6;
1404043;"Sanniki (3)";82,5;16,7;0,0;
1404052;"Szczawin Kościelny (2)";85,3;17,6;0,0;
1405011;"Milanówek (1)";82,1;69,7;79,8;
1405021;"Podkowa Leśna (1)";86,4;86,2;85,8;
1405032;"Baranów (2)";96,0;17,3;14,2;
1405043;"Grodzisk Mazowiecki (3)";93,6;71,4;84,7;
1405052;"Jaktorów (2)";87,8;62,7;49,7;
1405062;"Żabia Wola (2)";99,6;13,9;49,0;
1406012;"Belsk Duży (2)";88,1;19,2;70,7;
1406022;"Błędów (2)";34,1;17,3;46,7;
1406032;"Chynów (2)";91,6;44,7;35,8;
1406042;"Goszczyn (2)";44,7;14,5;51,0;
1406053;"Grójec (3)";94,4;62,3;83,9;
1406062;"Jasieniec (2)";48,8;23,1;43,8;
1406073;"Mogielnica (3)";84,2;34,1;55,7;
1406083;"Nowe Miasto nad Pilicą (3)";91,5;34,5;1,8;
1406092;"Pniewy (2)";9,0;0,0;50,7;
1406113;"Warka (3)";73,5;62,0;29,2;
1407012;"Garbatka-Letnisko (2)";86,0;54,9;28,0;
1407022;"Głowaczów (2)";95,2;21,2;0,0;
1407032;"Gniewoszów (2)";62,9;13,3;0,0;
1407042;"Grabów nad Pilicą (2)";86,5;35,4;0,1;
1407053;"Kozienice (3)";90,9;90,3;65,3;
1407062;"Magnuszew (2)";51,8;42,4;0,0;
1407072;"Sieciechów (2)";86,2;40,3;1,4;
1408011;"Legionowo (1)";86,6;90,7;78,6;
1408022;"Jabłonna (2)";16,8;38,5;64,5;
1408032;"Nieporęt (2)";71,6;47,8;82,6;
1408043;"Serock (3)";95,6;64,4;59,3;
1408052;"Wieliszew (2)";70,3;71,2;84,1;
1409012;"Chotcza (2)";89,6;0,0;0,0;
1409022;"Ciepielów (2)";82,6;10,5;0,0;
1409033;"Lipsko (3)";71,2;42,4;0,0;
1409042;"Rzeczniów (2)";84,7;26,9;0,0;
1409052;"Sienno (2)";87,5;24,1;0,0;
1409062;"Solec nad Wisłą (2)";55,8;4,9;0,0;
1410012;"Huszlew (2)";77,2;25,4;0,0;
1410023;"Łosice (3)";87,4;57,6;17,8;
1410032;"Olszanka (2)";94,2;0,0;0,0;
1410042;"Platerów (2)";82,6;45,3;0,0;
1410052;"Sarnaki (2)";84,7;42,7;14,2;
1410062;"Stara Kornica (2)";91,0;41,0;0,0;
1411011;"Maków Mazowiecki (1)";96,1;89,8;1,1;
1411022;"Czerwonka (2)";92,3;0,0;0,0;
1411032;"Karniewo (2)";81,7;0,5;0,0;
1411042;"Krasnosielc (2)";97,6;0,0;0,0;
1411052;"Młynarze (2)";74,4;0,0;0,0;
1411062;"Płoniawy-Bramura (2)";78,0;22,7;0,0;
1411073;"Różan (3)";99,8;54,2;0,0;
1411082;"Rzewnie (2)";52,4;0,0;0,0;
1411092;"Sypniewo (2)";59,9;0,0;0,0;
1411102;"Szelków (2)";96,1;8,7;0,0;
1412011;"Mińsk Mazowiecki (1)";91,3;89,3;62,6;
1412042;"Cegłów (2)";82,3;37,6;5,2;
1412052;"Dębe Wielkie (2)";70,5;31,4;2,1;
1412062;"Dobre (2)";75,6;25,9;1,4;
1412073;"Halinów (3)";100,0;53,0;47,5;
1412082;"Jakubów (2)";86,8;24,6;0,0;
1412093;"Kałuszyn (3)";95,9;45,8;1,2;
1412102;"Latowicz (2)";83,0;33,0;9,3;
1412112;"Mińsk Mazowiecki (2)";99,9;34,4;14,6;
1412123;"Mrozy (3)";89,6;34,9;4,6;
1412132;"Siennica (2)";100,0;29,0;4,4;
1412142;"Stanisławów (2)";99,9;36,1;8,2;
1412151;"Sulejówek (1)";83,9;72,6;78,7;
1413011;"Mława (1)";92,0;85,7;89,5;
1413022;"Dzierzgowo (2)";96,9;0,0;0,0;
1413032;"Lipowiec Kościelny (2)";93,3;0,0;5,6;
1413042;"Radzanów (2)";95,3;19,0;1,2;
1413052;"Strzegowo (2)";83,9;64,2;0,2;
1413062;"Stupsk (2)";91,9;0,0;17,6;
1413072;"Szreńsk (2)";86,8;28,5;0,0;
1413082;"Szydłowo (2)";98,5;0,0;13,5;
1413092;"Wieczfnia Kościelna (2)";90,4;29,8;13,7;
1413102;"Wiśniewo (2)";97,5;2,3;2,7;
1414011;"Nowy Dwór Mazowiecki (1)";92,1;84,3;39,0;
1414022;"Czosnów (2)";85,6;56,3;58,4;
1414032;"Leoncin (2)";48,2;20,0;0,0;
1414043;"Nasielsk (3)";92,5;38,1;17,6;
1414052;"Pomiechówek (2)";88,4;43,0;26,0;
1414063;"Zakroczym (3)";80,6;36,3;3,4;
1415012;"Baranowo (2)";77,7;45,6;5,2;
1415022;"Czarnia (2)";49,7;2,5;0,0;
1415032;"Czerwin (2)";79,7;9,9;9,9;
1415042;"Goworowo (2)";87,3;13,1;0,0;
1415052;"Kadzidło (2)";73,2;32,7;11,2;
1415062;"Lelis (2)";79,7;27,7;14,8;
1415072;"Łyse (2)";31,6;33,7;2,0;
1415083;"Myszyniec (3)";90,1;35,5;0,0;
1415092;"Olszewo-Borki (2)";55,8;39,8;19,9;
1415102;"Rzekuń (2)";93,9;28,3;40,5;
1415112;"Troszyn (2)";70,7;17,0;10,9;
1416011;"Ostrów Mazowiecka (1)";90,0;77,7;16,7;
1416022;"Andrzejewo (2)";98,8;15,8;0,0;
1416032;"Boguty-Pianki (2)";94,6;36,5;0,0;
1416043;"Brok (3)";65,1;23,4;0,0;
1416052;"Małkinia Górna (2)";84,4;40,9;4,0;
1416062;"Nur (2)";97,0;0,0;0,0;
1416072;"Ostrów Mazowiecka (2)";99,0;19,9;3,8;
1416082;"Stary Lubotyń (2)";90,8;37,9;0,0;
1416092;"Szulborze Wielkie (2)";76,9;0,0;0,0;
1416102;"Wąsewo (2)";94,5;34,5;8,6;
1416112;"Zaręby Kościelne (2)";72,2;13,3;0,0;
1417011;"Józefów (1)";62,6;74,5;74,9;
1417021;"Otwock (1)";69,9;83,0;68,4;
1417032;"Celestynów (2)";99,9;43,6;29,5;
1417043;"Karczew (3)";85,2;45,6;46,3;
1417052;"Kołbiel (2)";83,3;35,2;61,0;
1417062;"Osieck (2)";99,9;43,7;12,9;
1417072;"Sobienie-Jeziory (2)";99,9;19,0;8,2;
1417082;"Wiązowna (2)";82,9;27,4;36,6;
1418013;"Góra Kalwaria (3)";97,0;55,6;40,5;
1418023;"Konstancin-Jeziorna (3)";75,3;65,7;75,5;
1418032;"Lesznowola (2)";100,0;92,0;87,9;
1418043;"Piaseczno (3)";97,3;85,4;79,0;
1418052;"Prażmów (2)";99,9;4,0;13,4;
1418063;"Tarczyn (3)";99,7;61,8;54,3;
1419012;"Bielsk (2)";76,7;27,3;1,2;
1419022;"Bodzanów (2)";83,2;20,7;0,0;
1419032;"Brudzeń Duży (2)";87,7;23,4;0,0;
1419042;"Bulkowo (2)";92,9;13,0;0,1;
1419053;"Drobin (3)";86,2;32,1;0,0;
1419063;"Gąbin (3)";87,5;23,3;5,7;
1419072;"Łąck (2)";93,2;45,4;0,0;
1419082;"Mała Wieś (2)";84,3;18,0;0,1;
1419092;"Nowy Duninów (2)";91,9;50,6;0,0;
1419102;"Radzanowo (2)";93,5;14,2;4,5;
1419112;"Słubice (2)";86,7;19,2;0,0;
1419122;"Słupno (2)";94,8;68,5;50,4;
1419132;"Stara Biała (2)";98,2;60,1;34,3;
1419142;"Staroźreby (2)";96,5;31,2;10,4;
1419153;"Wyszogród (3)";92,5;48,5;0,0;
1420011;"Płońsk (1)";99,9;97,0;91,5;
1420021;"Raciąż (1)";88,8;52,3;0,1;
1420032;"Baboszewo (2)";93,4;26,9;20,5;
1420042;"Czerwińsk nad Wisłą (2)";83,1;7,0;0,2;
1420052;"Dzierzążnia (2)";89,4;0,0;3,1;
1420062;"Joniec (2)";72,8;0,0;0,0;
1420072;"Naruszewo (2)";84,7;10,3;0,0;
1420082;"Nowe Miasto (2)";78,1;0,0;0,0;
1420092;"Płońsk (2)";98,4;11,6;10,1;
1420102;"Raciąż (2)";86,3;18,3;0,0;
1420112;"Sochocin (2)";92,9;23,4;20,5;
1420122;"Załuski (2)";99,9;0,0;5,1;
1421011;"Piastów (1)";74,4;89,0;94,4;
1421021;"Pruszków (1)";91,8;88,9;79,3;
1421033;"Brwinów (3)";75,7;60,8;79,9;
1421042;"Michałowice (2)";90,1;83,9;89,7;
1421052;"Nadarzyn (2)";96,3;65,0;86,0;
1421062;"Raszyn (2)";77,0;72,6;94,6;
1422011;"Przasnysz (1)";99,8;88,7;0,5;
1422023;"Chorzele (3)";90,2;30,4;0,5;
1422032;"Czernice Borowe (2)";99,6;25,3;0,0;
1422042;"Jednorożec (2)";93,2;32,3;0,0;
1422052;"Krasne (2)";98,9;48,1;0,1;
1422062;"Krzynowłoga Mała (2)";100,0;0,0;0,0;
1422072;"Przasnysz (2)";94,6;41,8;0,1;
1423012;"Borkowice (2)";89,2;17,3;0,0;
1423022;"Gielniów (2)";98,1;39,5;0,0;
1423032;"Klwów (2)";99,7;8,1;0,1;
1423042;"Odrzywół (2)";86,6;34,3;0,0;
1423052;"Potworów (2)";83,6;29,7;0,0;
1423063;"Przysucha (3)";96,2;67,0;0,2;
1423072;"Rusinów (2)";87,6;15,8;0,0;
1423082;"Wieniawa (2)";78,0;21,9;0,0;
1424012;"Gzy (2)";93,6;0,0;0,0;
1424022;"Obryte (2)";88,6;34,4;0,0;
1424032;"Pokrzywnica (2)";68,7;0,0;0,0;
1424043;"Pułtusk (3)";91,2;67,6;39,0;
1424052;"Świercze (2)";80,3;14,3;0,0;
1424062;"Winnica (2)";99,9;35,4;10,7;
1424072;"Zatory (2)";91,0;35,2;0,0;
1425011;"Pionki (1)";97,9;93,3;89,6;
1425022;"Gózd (2)";91,2;44,4;5,8;
1425033;"Iłża (3)";94,5;25,5;32,5;
1425042;"Jastrzębia (2)";91,3;44,1;1,4;
1425052;"Jedlińsk (2)";81,1;18,0;36,2;
1425062;"Jedlnia-Letnisko (2)";90,6;57,0;38,2;
1425072;"Kowala (2)";97,7;0,0;16,2;
1425082;"Pionki (2)";83,8;67,7;13,5;
1425092;"Przytyk (2)";88,2;40,6;0,0;
1425103;"Skaryszew (3)";97,9;25,7;39,7;
1425112;"Wierzbica (2)";87,1;39,4;0,0;
1425122;"Wolanów (2)";75,0;16,0;0,9;
1425132;"Zakrzew (2)";95,2;37,5;29,7;
1426012;"Domanice (2)";81,8;47,9;0,0;
1426022;"Korczew (2)";90,5;0,0;0,0;
1426032;"Kotuń (2)";78,8;25,9;0,6;
1426042;"Mokobody (2)";97,6;26,6;4,6;
1426053;"Mordy (3)";73,7;25,4;0,0;
1426062;"Paprotnia (2)";99,9;52,3;0,0;
1426072;"Przesmyki (2)";72,3;0,0;0,0;
1426082;"Siedlce (2)";93,1;61,9;39,3;
1426092;"Skórzec (2)";95,6;70,5;1,5;
1426102;"Suchożebry (2)";87,9;43,9;25,2;
1426112;"Wiśniew (2)";93,9;16,6;11,8;
1426122;"Wodynie (2)";74,4;36,2;0,1;
1426132;"Zbuczyn (2)";99,9;22,7;0,5;
1427011;"Sierpc (1)";96,6;76,4;14,5;
1427022;"Gozdowo (2)";97,8;38,2;10,4;
1427032;"Mochowo (2)";89,0;23,1;6,6;
1427042;"Rościszewo (2)";89,7;29,8;0,2;
1427052;"Sierpc (2)";99,2;8,6;0,0;
1427062;"Szczutowo (2)";90,4;37,2;0,0;
1427072;"Zawidz (2)";95,9;17,0;0,0;
1428011;"Sochaczew (1)";93,7;79,5;5,2;
1428022;"Brochów (2)";78,8;38,8;2,6;
1428032;"Iłów (2)";80,8;14,7;0,0;
1428042;"Młodzieszyn (2)";89,6;15,6;0,0;
1428052;"Nowa Sucha (2)";99,6;37,5;2,9;
1428062;"Rybno (2)";87,8;4,8;0,0;
1428072;"Sochaczew (2)";99,9;0,0;5,7;
1428082;"Teresin (2)";97,0;42,4;11,7;
1429011;"Sokołów Podlaski (1)";94,5;89,5;21,3;
1429022;"Bielany (2)";99,9;0,0;0,0;
1429032;"Ceranów (2)";54,5;0,0;0,0;
1429042;"Jabłonna Lacka (2)";94,5;23,7;0,0;
1429053;"Kosów Lacki (3)";68,5;19,4;0,3;
1429062;"Repki (2)";98,0;12,7;0,0;
1429072;"Sabnie (2)";89,0;0,0;0,0;
1429082;"Sokołów Podlaski (2)";79,9;7,1;1,7;
1429092;"Sterdyń (2)";70,6;21,1;0,0;
1430012;"Chlewiska (2)";96,9;28,6;0,0;
1430022;"Jastrząb (2)";89,8;0,0;0,0;
1430032;"Mirów (2)";89,1;0,0;0,0;
1430042;"Orońsko (2)";92,3;14,5;0,0;
1430053;"Szydłowiec (3)";94,4;59,8;37,1;
1432013;"Błonie (3)";89,9;81,2;72,3;
1432022;"Izabelin (2)";83,4;71,9;83,3;
1432032;"Kampinos (2)";100,0;44,4;2,1;
1432042;"Leszno (2)";84,1;31,9;43,6;
1432053;"Łomianki (3)";58,1;55,0;90,4;
1432063;"Ożarów Mazowiecki (3)";100,0;73,9;84,5;
1432072;"Stare Babice (2)";97,8;78,0;91,2;
1433011;"Węgrów (1)";87,2;77,6;22,1;
1433022;"Grębków (2)";99,9;0,0;0,0;
1433032;"Korytnica (2)";86,4;12,2;0,0;
1433042;"Liw (2)";74,0;26,0;0,0;
1433053;"Łochów (3)";92,7;43,4;1,1;
1433062;"Miedzna (2)";87,9;37,1;0,2;
1433072;"Sadowne (2)";84,9;17,3;0,1;
1433082;"Stoczek (2)";98,8;30,8;0,0;
1433092;"Wierzbno (2)";44,9;0,0;0,1;
1434011;"Kobyłka (1)";77,9;83,1;91,1;
1434021;"Marki (1)";88,7;88,3;95,7;
1434031;"Ząbki (1)";69,1;93,7;90,8;
1434041;"Zielonka (1)";98,7;89,2;97,0;
1434052;"Dąbrówka (2)";66,1;45,3;40,7;
1434062;"Jadów (2)";78,1;58,6;1,0;
1434072;"Klembów (2)";69,3;35,2;64,7;
1434082;"Poświętne (2)";17,3;0,0;6,5;
1434093;"Radzymin (3)";77,7;54,4;84,0;
1434102;"Strachówka (2)";35,9;0,0;0,6;
1434113;"Tłuszcz (3)";51,9;36,7;32,6;
1434123;"Wołomin (3)";87,0;70,4;74,6;
1435012;"Brańszczyk (2)";94,4;50,4;9,3;
1435022;"Długosiodło (2)";62,2;31,3;0,0;
1435032;"Rząśnik (2)";96,8;43,6;0,1;
1435042;"Somianka (2)";97,8;15,4;0,1;
1435053;"Wyszków (3)";98,0;75,4;69,9;
1435062;"Zabrodzie (2)";85,2;34,0;23,1;
1436012;"Kazanów (2)";58,5;14,8;0,0;
1436022;"Policzna (2)";70,1;33,2;9,7;
1436032;"Przyłęk (2)";73,6;0,0;0,0;
1436042;"Tczów (2)";86,2;49,9;0,0;
1436053;"Zwoleń (3)";67,8;42,4;14,2;
1437013;"Bieżuń (3)";96,3;27,4;0,0;
1437022;"Kuczbork-Osada (2)";99,5;32,3;0,0;
1437033;"Lubowidz (3)";96,3;15,8;0,0;
1437042;"Lutocin (2)";98,6;16,0;0,0;
1437052;"Siemiątkowo (2)";89,3;0,0;0,0;
1437063;"Żuromin (3)";99,9;57,6;0,1;
1438011;"Żyrardów (1)";93,5;84,6;66,2;
1438023;"Mszczonów (3)";88,6;53,1;45,6;
1438032;"Puszcza Mariańska (2)";96,0;30,2;0,9;
1438042;"Radziejowice (2)";89,4;38,7;38,8;
1438052;"Wiskitki (2)";85,5;17,2;0,6;
1461011;"Ostrołęka (1)";94,6;91,6;81,5;
1462011;"Płock (1)";96,4;90,6;61,3;
1463011;"Radom (1)";95,8;91,7;79,6;
1464011;"Siedlce (1)";96,1;94,1;82,3;
1465011;"M.st.Warszawa od 2002 (1)";96,2;94,8;72,7;
1601011;"Brzeg (1)";99,1;94,9;94,3;
1601022;"Skarbimierz (2)";96,5;73,7;44,4;
1601033;"Grodków (3)";97,1;77,9;37,8;
1601043;"Lewin Brzeski (3)";97,0;68,6;46,3;
1601052;"Lubsza (2)";95,1;78,2;0,0;
1601062;"Olszanka (2)";99,9;92,4;0,1;
1602013;"Baborów (3)";98,1;55,8;40,6;
1602022;"Branice (2)";88,0;47,1;25,0;
1602033;"Głubczyce (3)";96,5;78,2;53,3;
1602043;"Kietrz (3)";95,6;37,5;43,6;
1603011;"Kędzierzyn-Koźle (1)";100,0;89,2;82,8;
1603022;"Bierawa (2)";99,4;72,5;1,4;
1603032;"Cisek (2)";94,6;17,8;0,0;
1603042;"Pawłowiczki (2)";99,8;75,2;0,0;
1603052;"Polska Cerekiew (2)";94,8;50,2;0,0;
1603062;"Reńska Wieś (2)";99,9;68,2;0,0;
1604013;"Byczyna (3)";92,7;43,9;9,6;
1604023;"Kluczbork (3)";94,4;72,5;62,2;
1604032;"Lasowice Wielkie (2)";93,2;57,5;0,0;
1604043;"Wołczyn (3)";96,1;58,3;40,2;
1605013;"Gogolin (3)";99,9;79,2;28,0;
1605023;"Krapkowice (3)";98,9;73,3;48,0;
1605032;"Strzeleczki (2)";96,4;30,8;0,0;
1605042;"Walce (2)";97,7;64,9;0,0;
1605053;"Zdzieszowice (3)";99,4;83,8;68,5;
1606012;"Domaszowice (2)";99,5;24,3;0,2;
1606023;"Namysłów (3)";97,5;73,4;57,4;
1606032;"Pokój (2)";84,9;31,0;0,1;
1606042;"Świerczów (2)";98,9;30,3;0,1;
1606052;"Wilków (2)";99,9;70,4;0,0;
1607013;"Głuchołazy (3)";83,9;77,3;53,8;
1607022;"Kamiennik (2)";90,7;16,8;0,0;
1607033;"Korfantów (3)";99,3;18,3;3,6;
1607042;"Łambinowice (2)";97,5;35,2;1,7;
1607053;"Nysa (3)";96,8;96,6;71,7;
1607063;"Otmuchów (3)";98,3;83,6;35,9;
1607073;"Paczków (3)";99,1;47,9;53,9;
1607082;"Pakosławice (2)";94,7;2,9;0,0;
1607092;"Skoroszyce (2)";93,8;47,6;6,4;
1608013;"Dobrodzień (3)";88,8;37,2;0,0;
1608023;"Gorzów Śląski (3)";86,5;45,6;3,8;
1608033;"Olesno (3)";99,9;49,1;42,5;
1608043;"Praszka (3)";98,5;73,3;4,0;
1608052;"Radłów (2)";91,9;11,9;0,2;
1608062;"Rudniki (2)";92,1;51,9;0,0;
1608072;"Zębowice (2)";98,5;0,0;0,0;
1609012;"Chrząstowice (2)";95,8;88,8;3,9;
1609022;"Dąbrowa (2)";100,0;69,9;4,6;
1609032;"Dobrzeń Wielki (2)";97,5;97,0;11,8;
1609042;"Komprachcice (2)";99,3;81,6;11,7;
1609052;"Łubniany (2)";95,7;62,0;15,0;
1609062;"Murów (2)";88,8;37,1;0,0;
1609073;"Niemodlin (3)";99,9;58,2;38,7;
1609083;"Ozimek (3)";100,0;87,1;24,1;
1609092;"Popielów (2)";99,9;76,8;0,0;
1609103;"Prószków (3)";97,4;84,6;0,0;
1609112;"Tarnów Opolski (2)";98,5;66,0;7,7;
1609123;"Tułowice (3)";98,6;99,7;80,7;
1609132;"Turawa (2)";96,0;85,7;4,6;
1610013;"Biała (3)";89,5;19,3;0,1;
1610023;"Głogówek (3)";98,5;51,2;36,8;
1610032;"Lubrza (2)";97,7;0,0;0,0;
1610043;"Prudnik (3)";97,3;81,1;69,1;
1611012;"Izbicko (2)";99,9;57,9;0,0;
1611022;"Jemielnica (2)";99,9;73,4;0,0;
1611033;"Kolonowskie (3)";96,8;86,5;4,0;
1611043;"Leśnica (3)";99,9;57,3;0,0;
1611053;"Strzelce Opolskie (3)";98,8;80,4;49,4;
1611063;"Ujazd (3)";95,1;82,8;0,7;
1611073;"Zawadzkie (3)";100,0;82,2;3,4;
1661011;"Opole (1)";97,5;94,8;72,7;
1801032;"Czarna (2)";51,8;22,6;4,6;
1801052;"Lutowiska (2)";70,3;69,6;0,0;
1801083;"Ustrzyki Dolne (3)";74,1;49,7;0,5;
1802013;"Brzozów (3)";22,8;60,5;90,4;
1802022;"Domaradz (2)";25,3;38,4;63,1;
1802032;"Dydnia (2)";19,1;66,4;69,9;
1802042;"Haczów (2)";4,2;85,1;83,1;
1802052;"Jasienica Rosielna (2)";65,1;70,6;77,8;
1802062;"Nozdrzec (2)";8,0;11,2;54,3;
1803011;"Dębica (1)";92,8;84,7;96,5;
1803023;"Brzostek (3)";43,7;35,1;74,3;
1803032;"Czarna (2)";90,9;57,1;73,6;
1803042;"Dębica (2)";91,0;84,1;77,0;
1803052;"Jodłowa (2)";0,0;9,3;64,1;
1803063;"Pilzno (3)";69,5;31,4;77,2;
1803072;"Żyraków (2)";98,1;73,2;82,0;
1804011;"Jarosław (1)";94,2;83,0;97,1;
1804021;"Radymno (1)";99,9;71,4;84,4;
1804032;"Chłopice (2)";85,6;95,7;64,6;
1804042;"Jarosław (2)";99,9;89,4;73,2;
1804052;"Laszki (2)";89,0;44,9;39,8;
1804062;"Pawłosiów (2)";88,6;82,2;77,6;
1804073;"Pruchnik (3)";84,6;55,5;69,4;
1804082;"Radymno (2)";91,4;41,5;40,7;
1804092;"Rokietnica (2)";88,8;77,1;57,0;
1804102;"Roźwienica (2)";90,7;88,5;68,7;
1804112;"Wiązownica (2)";97,7;64,4;62,9;
1805011;"Jasło (1)";87,7;89,3;98,6;
1805022;"Brzyska (2)";0,0;0,0;81,7;
1805032;"Dębowiec (2)";46,5;32,8;75,9;
1805042;"Jasło (2)";33,9;81,1;88,7;
1805053;"Kołaczyce (3)";28,9;57,3;84,0;
1805062;"Krempna (2)";57,5;40,0;0,0;
1805072;"Nowy Żmigród (2)";23,7;53,1;72,5;
1805082;"Osiek Jasielski (2)";34,1;39,8;85,4;
1805092;"Skołyszyn (2)";35,1;47,0;81,6;
1805112;"Tarnowiec (2)";21,6;18,1;87,6;
1806012;"Cmolas (2)";93,7;64,0;55,1;
1806023;"Kolbuszowa (3)";89,6;47,5;75,4;
1806032;"Majdan Królewski (2)";87,9;81,4;64,8;
1806042;"Niwiska (2)";97,8;78,0;65,7;
1806052;"Raniżów (2)";93,0;62,0;42,8;
1806062;"Dzikowiec (2)";94,5;68,4;39,0;
1807012;"Chorkówka (2)";68,3;71,7;90,6;
1807023;"Dukla (3)";63,4;42,0;72,5;
1807033;"Iwonicz-Zdrój (3)";59,4;97,7;93,1;
1807043;"Jedlicze (3)";32,0;69,2;97,3;
1807052;"Korczyna (2)";44,9;55,0;83,3;
1807062;"Krościenko Wyżne (2)";80,7;98,6;94,6;
1807072;"Miejsce Piastowe (2)";54,7;95,2;95,0;
1807083;"Rymanów (3)";42,4;82,5;93,1;
1807092;"Wojaszówka (2)";28,6;60,1;82,5;
1807102;"Jaśliska (2)";70,2;4,5;0,0;
1808011;"Leżajsk (1)";90,8;88,5;91,8;
1808022;"Grodzisko Dolne (2)";96,9;57,6;40,3;
1808032;"Kuryłówka (2)";89,0;68,1;17,8;
1808042;"Leżajsk (2)";97,8;57,5;57,1;
1808053;"Nowa Sarzyna (3)";96,6;65,1;64,9;
1809011;"Lubaczów (1)";100,0;94,9;83,1;
1809023;"Cieszanów (3)";96,8;77,6;45,9;
1809032;"Horyniec-Zdrój (2)";82,5;65,9;1,3;
1809042;"Lubaczów (2)";99,9;67,3;30,8;
1809053;"Narol (3)";89,3;69,9;22,7;
1809063;"Oleszyce (3)";99,1;98,5;56,1;
1809072;"Stary Dzików (2)";87,0;91,9;0,0;
1809082;"Wielkie Oczy (2)";95,3;0,0;31,0;
1810011;"Łańcut (1)";99,9;92,5;98,9;
1810022;"Białobrzegi (2)";90,7;87,7;72,4;
1810032;"Czarna (2)";99,9;86,8;73,6;
1810042;"Łańcut (2)";92,5;90,7;80,9;
1810052;"Markowa (2)";73,5;50,0;61,7;
1810062;"Rakszawa (2)";95,9;58,9;43,9;
1810072;"Żołynia (2)";99,1;76,5;52,8;
1811011;"Mielec (1)";98,9;96,0;97,6;
1811022;"Borowa (2)";97,5;31,3;1,7;
1811032;"Czermin (2)";94,3;37,0;24,0;
1811042;"Gawłuszowice (2)";93,1;1,5;1,6;
1811052;"Mielec (2)";96,3;64,4;72,3;
1811062;"Padew Narodowa (2)";92,4;87,3;51,7;
1811073;"Przecław (3)";100,0;42,1;53,5;
1811083;"Radomyśl Wielki (3)";90,2;41,1;52,7;
1811092;"Tuszów Narodowy (2)";91,9;31,6;39,2;
1811102;"Wadowice Górne (2)";99,9;26,9;46,7;
1812012;"Harasiuki (2)";99,9;10,1;6,6;
1812022;"Jarocin (2)";89,0;76,1;0,0;
1812032;"Jeżowe (2)";91,7;78,4;42,5;
1812042;"Krzeszów (2)";92,9;35,0;44,4;
1812053;"Nisko (3)";79,2;74,1;74,0;
1812063;"Rudnik nad Sanem (3)";77,7;57,2;65,0;
1812073;"Ulanów (3)";96,0;71,9;44,5;
1813012;"Bircza (2)";14,4;35,9;4,3;
1813022;"Dubiecko (2)";20,5;35,3;38,0;
1813032;"Fredropol (2)";8,7;41,2;5,3;
1813042;"Krasiczyn (2)";73,7;80,0;51,1;
1813052;"Krzywcza (2)";7,8;37,1;0,0;
1813062;"Medyka (2)";96,0;94,6;69,8;
1813072;"Orły (2)";97,2;93,5;77,1;
1813082;"Przemyśl (2)";60,4;48,4;69,4;
1813092;"Stubno (2)";94,7;76,2;54,0;
1813102;"Żurawica (2)";94,0;84,7;86,4;
1814011;"Przeworsk (1)";96,0;92,5;89,9;
1814022;"Adamówka (2)";96,8;73,6;0,3;
1814032;"Gać (2)";95,1;81,9;65,9;
1814042;"Jawornik Polski (2)";21,3;19,7;47,5;
1814053;"Kańczuga (3)";83,4;65,4;61,8;
1814062;"Przeworsk (2)";92,5;87,8;69,4;
1814073;"Sieniawa (3)";96,1;73,2;53,6;
1814082;"Tryńcza (2)";95,4;83,2;58,5;
1814092;"Zarzecze (2)";95,9;85,3;75,4;
1815012;"Iwierzyce (2)";85,8;50,9;56,8;
1815022;"Ostrów (2)";96,9;72,5;45,6;
1815033;"Ropczyce (3)";76,0;52,1;70,6;
1815043;"Sędziszów Małopolski (3)";93,9;58,6;71,1;
1815052;"Wielopole Skrzyńskie (2)";32,1;0,0;43,3;
1816011;"Dynów (1)";43,4;64,0;60,9;
1816023;"Błażowa (3)";44,4;21,8;20,1;
1816033;"Boguchwała (3)";93,1;84,8;85,8;
1816042;"Chmielnik (2)";31,6;67,0;61,6;
1816052;"Dynów (2)";3,3;4,1;54,5;
1816063;"Głogów Małopolski (3)";99,9;84,3;77,8;
1816072;"Hyżne (2)";58,5;36,6;57,7;
1816082;"Kamień (2)";96,3;75,9;49,5;
1816092;"Krasne (2)";92,1;92,2;87,3;
1816102;"Lubenia (2)";57,6;69,7;41,7;
1816113;"Sokołów Małopolski (3)";97,6;73,4;42,8;
1816122;"Świlcza (2)";99,9;85,5;84,5;
