"Kod";"Nazwa";"imprezy;ogółem;2016;[szt.]";"imprezy;ogółem;2017;[szt.]";"imprezy;ogółem;2018;[szt.]";"imprezy;ogółem;2019;[szt.]";"uczestnicy imprez;ogółem;2016;[osoba]";"uczestnicy imprez;ogółem;2017;[osoba]";"uczestnicy imprez;ogółem;2018;[osoba]";"uczestnicy imprez;ogółem;2019;[osoba]";
0219011;"Świdnica (1)";597;548;626;713;87950;240500;160496;179560;
0219021;"Świebodzice (1)";37;146;20;29;5940;5311;3210;1325;
0219032;"Dobromierz (2)";52;51;46;42;6542;7022;5959;5656;
0219043;"Jaworzyna Śląska (3)";77;70;76;77;10600;10031;9810;10070;
0219052;"Marcinowice (2)";27;30;34;46;3100;3035;3300;4110;
0219063;"Strzegom (3)";445;380;78;265;43230;45385;102750;40070;
0219083;"Żarów (3)";93;118;247;199;15087;17210;18400;16205;
0220013;"Oborniki Śląskie (3)";1386;1214;310;962;26666;26867;15892;21525;
0220023;"Prusice (3)";225;333;186;119;10543;13530;17900;9873;
0220033;"Trzebnica (3)";121;84;76;135;47729;24910;28280;25582;
0220042;"Wisznia Mała (2)";138;129;124;116;8278;12767;9388;18069;
0220052;"Zawonia (2)";157;97;148;141;10950;6620;11019;12563;
0220063;"Żmigród (3)";262;229;170;155;18186;23825;38069;35423;
0221011;"Boguszów-Gorce (1)";0;46;35;62;0;7391;7496;6562;
0221021;"Jedlina-Zdrój (1)";28;43;71;70;38225;38040;9525;10350;
0221042;"Czarny Bór (2)";11;11;8;21;800;815;380;2420;
0221053;"Głuszyca (3)";90;81;70;60;5147;4523;4003;4319;
0221063;"Mieroszów (3)";38;99;38;115;4900;5750;6608;8800;
0221072;"Stare Bogaczowice (2)";0;35;38;0;0;5600;6145;0;
0221082;"Walim (2)";16;7;50;12;4670;10150;1855;67;
0222013;"Brzeg Dolny (3)";149;304;142;108;77530;47900;60500;20120;
0222022;"Wińsko (2)";55;58;66;52;7300;8000;8550;5660;
0222033;"Wołów (3)";120;264;150;246;22081;32495;9750;14066;
0223022;"Długołęka (2)";242;275;210;385;8375;8085;8414;12450;
0223043;"Kąty Wrocławskie (3)";102;113;42;71;15200;17380;18100;13560;
0223052;"Kobierzyce (2)";68;57;44;42;37248;16176;14062;16480;
0223062;"Mietków (2)";11;13;14;14;3715;3940;2835;2835;
0223073;"Sobótka (3)";48;49;93;420;12190;11840;13485;21849;
0223083;"Siechnice (3)";52;94;111;87;6310;11387;15762;7077;
0223092;"Żórawina (2)";30;30;33;37;5100;3360;3250;3270;
0224013;"Bardo (3)";129;48;67;10;11060;7340;11950;1090;
0224022;"Ciepłowody (2)";32;46;204;292;3390;2562;3469;3419;
0224032;"Kamieniec Ząbkowicki (2)";107;114;140;124;22650;22950;26500;26030;
0224042;"Stoszowice (2)";50;96;61;28;8220;8590;9258;6643;
0224053;"Ząbkowice Śląskie (3)";291;298;313;294;83380;84100;92930;89947;
0224063;"Ziębice (3)";125;123;115;150;17072;21713;21415;23405;
0224073;"Złoty Stok (3)";46;46;31;38;2400;3567;3335;3965;
0225011;"Zawidów (1)";15;34;44;26;1185;2456;3670;1885;
0225021;"Zgorzelec (1)";181;182;188;172;93370;90850;77250;73900;
0225033;"Bogatynia (3)";237;306;246;302;41575;42420;24500;30760;
0225043;"Pieńsk (3)";83;102;79;83;4600;4915;5240;5930;
0225052;"Sulików (2)";71;51;57;65;1610;1213;1860;2850;
0225063;"Węgliniec (3)";148;93;88;69;23098;23150;27107;13407;
0225072;"Zgorzelec (2)";45;45;45;37;7250;6600;6100;5120;
0226021;"Złotoryja (1)";24;31;61;43;8770;2760;6700;3670;
0226032;"Pielgrzymka (2)";35;35;35;47;1870;1780;1560;1780;
0226043;"Świerzawa (3)";53;46;42;20;4680;4590;4100;2250;
0261011;"Jelenia Góra (1)";678;722;741;639;118332;141812;131210;137788;
0262011;"Legnica (1)";203;224;211;313;60475;69992;47225;88740;
0264011;"Wrocław (1)";733;1377;1506;1706;225677;575167;649680;638718;
0265011;"Wałbrzych od 2013 (1)";113;152;74;115;97867;100161;5690;82419;
0401011;"Aleksandrów Kujawski (1)";75;72;100;93;5933;4524;5295;4853;
0401021;"Ciechocinek (1)";384;80;100;98;46325;6700;8900;8900;
0401052;"Bądkowo (2)";17;20;15;14;3350;3450;4650;4150;
0401062;"Koneck (2)";9;15;20;22;1210;1730;2490;2060;
0401072;"Raciążek (2)";41;31;32;34;3840;3528;2390;2360;
0401092;"Zakrzewo (2)";13;20;3;20;420;590;230;500;
0402011;"Brodnica (1)";183;213;216;257;93950;114240;84780;71850;
0402022;"Bobrowo (2)";32;27;39;36;3510;2280;2705;2480;
0402053;"Górzno (3)";41;26;40;41;2820;2020;3575;2910;
0402073;"Jabłonowo Pomorskie (3)";96;106;95;57;12150;12550;15900;12640;
0402082;"Osiek (2)";27;23;23;10;1210;1100;1340;1341;
0402102;"Zbiczno (2)";35;36;23;118;4218;7412;5470;5870;
0403012;"Białe Błota (2)";37;41;40;44;6965;8208;10352;13008;
0403022;"Dąbrowa Chełmińska (2)";35;40;42;35;4703;7440;7650;10300;
0403032;"Dobrcz (2)";111;109;85;72;5400;5723;6488;5464;
0403043;"Koronowo (3)";86;286;72;427;16520;22730;18310;10787;
0403052;"Nowa Wieś Wielka (2)";58;61;58;62;6850;6400;7325;8505;
0403062;"Osielsko (2)";135;92;551;503;3650;2280;11895;10290;
0403072;"Sicienko (2)";174;193;172;146;6885;7474;6090;5046;
0403083;"Solec Kujawski (3)";151;375;175;295;18722;18710;18410;24656;
0404011;"Chełmno (1)";105;114;383;443;19340;17770;35328;35760;
0404032;"Kijewo Królewskie (2)";0;15;34;36;0;190;615;740;
0404052;"Papowo Biskupie (2)";41;40;34;36;3500;3490;2820;2570;
0404072;"Unisław (2)";95;38;38;39;10080;4539;4639;4785;
0405011;"Golub-Dobrzyń (1)";40;33;32;30;4050;3860;6620;11620;
0405043;"Kowalewo Pomorskie (3)";26;31;27;29;2805;3279;3340;3470;
0405052;"Radomin (2)";46;54;144;164;3554;8998;7992;9694;
0406012;"Grudziądz (2)";70;72;72;84;4840;4530;4600;4410;
0406022;"Gruta (2)";38;36;26;23;5555;4508;2669;2295;
0406033;"Łasin (3)";152;103;70;59;9706;14577;6771;7556;
0406043;"Radzyń Chełmiński (3)";41;65;77;103;3947;5560;6368;5651;
0406052;"Rogóźno (2)";79;78;83;54;4682;5500;4990;3460;
0406062;"Świecie nad Osą (2)";69;70;70;64;9850;10150;10250;10330;
0407011;"Inowrocław (1)";172;147;36;111;36201;45220;1271;15271;
0407022;"Dąbrowa Biskupia (2)";11;20;18;26;6250;3050;2900;2390;
0407033;"Gniewkowo (3)";69;80;70;78;4800;7950;9350;9150;
0407053;"Janikowo (3)";52;60;45;20;23403;25586;16715;10570;
0407063;"Kruszwica (3)";42;45;57;44;10010;13040;15980;16100;
0407073;"Pakość (3)";37;46;44;29;4510;4670;6830;7490;
0407082;"Rojewo (2)";10;11;10;18;1650;1670;1070;2290;
0408011;"Lipno (1)";56;51;53;58;6754;6356;6738;8881;
0408043;"Dobrzyń nad Wisłą (3)";85;33;29;25;3628;3417;2330;2630;
0408052;"Kikół (2)";0;0;25;36;0;0;8609;7060;
0408062;"Lipno (2)";120;85;99;111;7290;7485;8011;6570;
0408082;"Tłuchowo (2)";29;79;51;61;9050;6540;10350;14400;
0408092;"Wielgie (2)";54;58;66;76;9742;11280;13850;12750;
0409022;"Jeziora Wielkie (2)";113;110;103;138;24770;22455;23730;21900;
0409033;"Mogilno (3)";83;79;76;67;14334;20410;22380;18320;
0409043;"Strzelno (3)";34;32;30;65;7070;6550;4730;5580;
0410013;"Kcynia (3)";64;77;82;105;9460;12010;15301;17720;
0410023;"Mrocza (3)";11;12;33;19;3760;3270;5000;4030;
0410033;"Nakło nad Notecią (3)";94;98;99;146;10492;13489;33817;29013;
0410042;"Sadki (2)";152;130;132;146;7259;5344;6910;8047;
0410053;"Szubin (3)";157;97;238;213;9743;6847;15511;15963;
0411011;"Radziejów (1)";38;36;44;47;2385;3385;4760;2164;
0411022;"Bytoń (2)";38;48;37;48;2050;1628;3140;2653;
0411032;"Dobre (2)";30;31;35;24;1630;2670;2090;1780;
0411042;"Osięciny (2)";27;27;32;28;3350;3350;3060;2830;
0411053;"Piotrków Kujawski (3)";41;44;35;41;5291;10003;9193;10877;
0411072;"Topólka (2)";25;27;29;28;6840;6145;6904;5755;
0412011;"Rypin (1)";17;36;17;27;12650;6078;9857;11456;
0413013;"Kamień Krajeński (3)";305;329;326;235;21053;19592;16790;15266;
0413023;"Sępólno Krajeńskie (3)";155;121;98;94;41120;25530;20480;20790;
0413032;"Sośno (2)";35;31;48;52;3160;3650;5300;4350;
0413043;"Więcbork (3)";28;74;54;52;3880;10237;8845;9800;
0414022;"Dragacz (2)";26;35;27;45;1660;2735;1064;2870;
0414032;"Drzycim (2)";49;47;47;46;3425;3380;3220;3054;
0414042;"Jeżewo (2)";16;19;80;27;1080;920;10495;2830;
0414063;"Nowe (3)";183;174;165;99;38838;32202;34528;17295;
0414072;"Osie (2)";62;70;132;140;12060;10490;12287;11313;
0414082;"Pruszcz (2)";59;55;58;55;8430;3200;2425;3200;
0414093;"Świecie (3)";256;341;254;281;77444;47492;38764;34849;
0414112;"Warlubie (2)";4;4;4;3;1060;642;642;900;
0415011;"Chełmża (1)";71;79;79;88;6158;9635;8227;7968;
0415022;"Chełmża (2)";93;154;163;236;7500;14421;20540;25310;
0415052;"Łubianka (2)";50;56;105;111;5600;7150;13200;12647;
0415062;"Łysomice (2)";21;20;15;15;530;595;685;685;
0415072;"Obrowo (2)";22;35;34;43;1990;2545;2498;2200;
0415082;"Wielka Nieszawka (2)";0;0;15;21;0;0;2000;2140;
0415092;"Zławieś Wielka (2)";76;96;104;95;2709;4281;5533;5430;
0416012;"Cekcyn (2)";13;21;43;27;2340;3015;4134;1432;
0416022;"Gostycyn (2)";20;14;12;14;5350;3750;2200;1980;
0416042;"Lubiewo (2)";6;28;48;76;309;2272;2791;3617;
0416052;"Śliwice (2)";46;48;67;63;10620;11170;13522;15875;
0416063;"Tuchola (3)";118;192;192;169;26696;34854;43552;31157;
0417011;"Wąbrzeźno (1)";201;179;210;172;34186;51433;26605;25196;
0417032;"Książki (2)";71;22;28;29;2201;2300;2360;1070;
0418022;"Baruchowo (2)";12;14;9;10;2820;3290;2920;3213;
0418043;"Brześć Kujawski (3)";61;55;59;49;5030;5100;6290;6600;
0418052;"Choceń (2)";15;18;18;15;6450;6140;5400;1350;
0418083;"Izbica Kujawska (3)";61;52;53;10;11490;8158;9115;1140;
0418102;"Lubanie (2)";17;12;22;12;1700;725;2400;725;
0418113;"Lubień Kujawski (3)";16;22;21;22;2720;1890;3700;3690;
0418123;"Lubraniec (3)";34;30;27;27;9200;8150;8930;8930;
0418132;"Włocławek (2)";23;25;24;187;928;1581;2043;12050;
0419013;"Barcin (3)";405;566;647;570;16659;17648;31107;28319;
0419022;"Gąsawa (2)";20;18;17;15;1295;1230;770;600;
0419033;"Janowiec Wielkopolski (3)";18;22;0;39;4375;4580;0;5580;
0419043;"Łabiszyn (3)";205;205;218;213;25112;28725;29264;32090;
0419052;"Rogowo (2)";44;59;58;61;5080;5720;5610;6600;
0419063;"Żnin (3)";100;110;86;53;15160;24630;25770;26264;
0461011;"Bydgoszcz (1)";1730;1279;1241;975;153435;163950;159980;123064;
0462011;"Grudziądz (1)";250;256;217;276;67017;62918;60294;61946;
0463011;"Toruń (1)";1387;1472;1412;1270;189441;185461;182172;192392;
0464011;"Włocławek (1)";382;326;305;334;100036;88883;107734;112962;
0601011;"Międzyrzec Podlaski (1)";86;45;47;62;14191;9160;11310;12610;
0601021;"Terespol (1)";30;50;58;33;13950;15500;16940;10340;
0601032;"Biała Podlaska (2)";202;206;177;181;11122;9363;12084;12179;
0601042;"Drelów (2)";45;53;32;33;4438;4870;3389;2970;
0601052;"Janów Podlaski (2)";120;113;128;64;6206;5827;6265;8888;
0601062;"Kodeń (2)";86;86;18;18;6220;6220;1470;1470;
0601072;"Konstantynów (2)";42;137;179;180;12578;15010;21010;20010;
0601082;"Leśna Podlaska (2)";23;20;27;39;3514;2370;2411;2285;
0601092;"Łomazy (2)";18;19;15;13;3050;3160;2870;2390;
0601112;"Piszczac (2)";16;51;58;59;1450;4820;8315;8910;
0601122;"Rokitno (2)";54;101;56;44;3020;3970;2900;2520;
0601132;"Rossosz (2)";7;17;14;9;650;910;815;375;
0601142;"Sławatycze (2)";100;90;89;84;12750;10080;10040;10060;
0601152;"Sosnówka (2)";17;15;17;20;2770;2825;1380;2335;
0601162;"Terespol (2)";21;31;37;39;3990;5218;6370;12055;
0601182;"Wisznice (2)";28;29;27;32;1700;4360;5070;5552;
0601192;"Zalesie (2)";10;7;5;6;2455;2000;1870;830;
0602011;"Biłgoraj (1)";109;111;115;137;22337;38673;22663;34487;
0602042;"Biszcza (2)";13;13;13;13;5000;8300;8050;8050;
0602053;"Frampol (3)";69;65;54;35;3220;2220;1640;2280;
0602062;"Goraj (2)";20;26;27;24;8660;6065;7060;7007;
0602073;"Józefów (3)";33;39;43;52;37860;40170;51435;45445;
0602082;"Księżpol (2)";10;13;15;32;3850;4600;3320;11685;
0602092;"Łukowa (2)";20;38;36;19;2220;2780;3730;3600;
0602102;"Obsza (2)";5;7;8;9;5530;3370;3560;4900;
0602112;"Potok Górny (2)";25;22;19;20;4520;4130;4040;3690;
0602123;"Tarnogród (3)";70;65;65;63;21880;27560;27950;27350;
0603011;"Rejowiec Fabryczny (1)";37;41;45;41;3200;3290;3635;3850;
0603022;"Białopole (2)";65;85;57;99;4007;6139;3683;6337;
0603032;"Chełm (2)";0;33;26;32;0;4226;4317;5988;
0603042;"Dorohusk (2)";78;91;99;83;21440;27210;29140;16060;
0603052;"Dubienka (2)";79;78;73;58;2000;2060;2020;1400;
0603062;"Kamień (2)";18;15;19;20;918;932;1080;964;
0603072;"Leśniowice (2)";29;42;49;16;4210;5542;5410;2466;
0603082;"Rejowiec Fabryczny (2)";36;37;26;20;2282;14297;8030;11258;
0603092;"Ruda-Huta (2)";102;106;96;96;9820;9790;9490;9285;
0603102;"Sawin (2)";17;19;15;14;3073;3670;3000;2700;
0603113;"Siedliszcze (3)";16;15;30;12;3628;4603;4541;1583;
0603132;"Wojsławice (2)";59;57;79;66;5900;6330;7793;8041;
0603142;"Żmudź (2)";34;33;32;40;1006;2482;2331;2526;
0603153;"Rejowiec (3)";;23;23;55;;2800;2800;5210;
0604011;"Hrubieszów (1)";206;182;137;107;32130;32890;27100;23150;
0604022;"Dołhobyczów (2)";29;26;26;24;2180;2400;3950;3510;
0604032;"Horodło (2)";51;37;60;20;1247;1980;1510;1060;
0604042;"Hrubieszów (2)";15;20;24;35;871;922;856;831;
0604052;"Mircze (2)";74;34;86;85;16589;9546;12174;9485;
0604062;"Trzeszczany (2)";80;75;43;38;7363;7770;2685;3203;
0604072;"Uchanie (2)";17;17;42;51;8000;8000;11000;4450;
0604082;"Werbkowice (2)";23;41;50;82;12190;12956;8543;9271;
0605012;"Batorz (2)";25;23;26;20;6700;5910;6140;4810;
0605032;"Dzwola (2)";20;26;21;17;2277;3420;2790;2000;
0605042;"Godziszów (2)";26;29;31;33;3170;3290;3428;3176;
0605053;"Janów Lubelski (3)";53;62;62;59;17710;19100;19550;18450;
0605063;"Modliborzyce (3)";44;41;32;36;5610;5430;5620;6360;
0605072;"Potok Wielki (2)";44;42;46;46;6250;6570;6610;6610;
0606011;"Krasnystaw (1)";136;125;93;90;39560;37990;31100;30670;
0606042;"Izbica (2)";30;33;33;37;6400;8850;7350;8130;
0606052;"Krasnystaw (2)";103;132;127;124;11655;13000;12690;13815;
0606072;"Łopiennik Górny (2)";16;16;16;15;1980;2050;1920;1200;
0606102;"Siennica Różana (2)";51;57;50;69;6871;6760;7540;10026;
0606112;"Żółkiewka (2)";32;36;38;39;6640;5900;5010;5130;
0607011;"Kraśnik (1)";85;127;110;107;17150;17540;12604;15170;
0607023;"Annopol (3)";19;28;31;25;6740;10047;11090;7280;
0607032;"Dzierzkowice (2)";42;18;21;12;8298;6850;13080;8095;
0607042;"Gościeradów (2)";28;29;31;37;8020;8613;7595;8787;
0607062;"Szastarka (2)";4;7;24;16;490;1600;12000;6290;
0607072;"Trzydnik Duży (2)";25;25;25;24;2850;2850;2850;2850;
0607083;"Urzędów (3)";72;77;85;66;3090;3270;5050;4200;
0607102;"Zakrzówek (2)";48;38;48;42;4910;5270;6570;6490;
0608011;"Lubartów (1)";97;80;86;140;21661;22684;27865;38787;
0608042;"Jeziorzany (2)";15;0;0;0;446;0;0;0;
0608052;"Kamionka (2)";32;32;25;21;2195;3335;1190;610;
0608063;"Kock (3)";73;49;48;47;7500;6960;8500;2920;
0608103;"Ostrów Lubelski (3)";11;13;16;9;3222;3540;3180;2310;
0609013;"Bełżyce (3)";15;19;30;21;3500;3600;7420;5070;
0609033;"Bychawa (3)";80;36;31;30;19840;22450;22550;23620;
0609052;"Głusk (2)";56;51;36;45;2100;2002;2580;3803;
0609062;"Jabłonna (2)";71;192;163;222;3595;7250;4630;5250;
0609072;"Jastków (2)";13;22;23;18;4000;1000;2050;1250;
0609092;"Krzczonów (2)";29;26;18;17;2573;2437;1563;1613;
0609102;"Niedrzwica Duża (2)";39;50;56;53;21200;14900;12560;12200;
0609112;"Niemce (2)";26;24;30;28;6220;7350;9566;9650;
0609122;"Strzyżewice (2)";80;101;44;43;3748;6450;2750;3360;
0609132;"Wojciechów (2)";9;16;20;26;16190;16890;17690;17640;
0609152;"Wysokie (2)";0;12;13;20;0;940;1280;1420;
0610012;"Cyców (2)";212;97;80;65;6409;3150;3366;3592;
0610022;"Ludwin (2)";8;8;8;6;7150;7320;160;1190;
0610033;"Łęczna (3)";91;98;84;87;16865;17015;17780;17870;
0610042;"Milejów (2)";49;115;79;95;4974;6861;6088;4330;
0610052;"Puchaczów (2)";24;18;18;19;1190;1170;1200;1240;
0610062;"Spiczyn (2)";33;38;38;46;890;1035;1535;1970;
0611011;"Łuków (1)";216;316;312;359;53681;50355;63865;64313;
0611021;"Stoczek Łukowski (1)";148;230;99;66;6000;4390;8233;2830;
0611032;"Adamów (2)";34;29;15;5;9810;11002;5500;1200;
0611052;"Łuków (2)";52;107;125;158;3964;9334;8386;9245;
0611092;"Trzebieszów (2)";91;89;77;70;5258;4976;3177;4808;
0612012;"Chodel (2)";9;8;10;11;770;650;950;1320;
0612023;"Józefów nad Wisłą (3)";;;38;38;;;2730;2730;
0612032;"Karczmiska (2)";55;25;26;25;2620;4140;4570;6260;
0612053;"Opole Lubelskie (3)";131;98;131;95;17411;15768;17570;15490;
0612063;"Poniatowa (3)";72;103;144;298;7995;12110;14080;30265;
0613012;"Dębowa Kłoda (2)";28;30;29;38;2050;2550;5600;4514;
0613022;"Jabłoń (2)";17;18;65;34;852;928;1927;1935;
0613032;"Milanów (2)";67;55;84;89;20385;16312;20667;18970;
0613043;"Parczew (3)";76;81;97;172;38500;25780;47000;41252;
0613062;"Siemień (2)";2;20;16;5;800;2430;560;130;
0613072;"Sosnowica (2)";59;25;25;46;1850;1350;1550;2000;
0614011;"Puławy (1)";555;527;633;579;80994;55313;39521;36835;
0614022;"Baranów (2)";34;28;35;30;3275;3000;3450;2900;
0614032;"Janowiec (2)";45;64;46;47;1989;2851;1990;3675;
0614043;"Kazimierz Dolny (3)";363;82;405;421;19130;16320;22781;26086;
0614052;"Końskowola (2)";81;77;77;118;18020;17900;17900;23250;
0614062;"Kurów (2)";138;146;145;107;20500;21452;18590;16540;
0614072;"Markuszów (2)";78;84;91;98;6480;8800;9600;7130;
0614083;"Nałęczów (3)";210;24;34;32;15475;3550;6900;7680;
0614092;"Puławy (2)";24;23;31;26;2380;3840;3060;3520;
0614102;"Wąwolnica (2)";1;14;17;0;600;310;410;0;
0615011;"Radzyń Podlaski (1)";104;313;190;176;16230;14960;13550;29940;
0615022;"Borki (2)";41;49;75;79;4770;7100;8650;11250;
0615042;"Kąkolewnica (2)";65;70;64;77;7131;7049;8780;9575;
0615052;"Komarówka Podlaska (2)";40;37;40;41;8240;7490;7940;7630;
0615072;"Ulan-Majorat (2)";35;37;38;39;4705;4920;4900;5120;
0615082;"Wohyń (2)";0;0;0;76;0;0;0;2470;
0616011;"Dęblin (1)";89;97;73;83;7720;12150;11800;15930;
0616022;"Kłoczew (2)";42;35;50;66;4840;4360;6270;5660;
0616043;"Ryki (3)";125;107;113;172;27920;20590;14390;16034;
0616052;"Stężyca (2)";37;39;57;47;8078;9050;14928;15350;
0616062;"Ułęż (2)";17;5;10;16;715;140;700;1597;
0617011;"Świdnik (1)";73;115;196;140;7930;16700;88466;74477;
0617022;"Mełgiew (2)";18;43;41;36;1700;5510;5130;6700;
0617033;"Piaski (3)";154;154;172;190;45980;38140;41540;44090;
0617052;"Trawniki (2)";69;101;74;101;9524;11955;14252;14376;
0618011;"Tomaszów Lubelski (1)";164;154;128;133;44682;41125;40138;39222;
0618022;"Bełżec (2)";13;11;33;28;5490;6200;7220;4000;
0618032;"Jarczów (2)";22;22;23;25;1440;1440;1490;2130;
0618042;"Krynice (2)";25;48;36;43;3700;3358;4950;6392;
0618063;"Łaszczów (3)";17;18;14;24;5190;5370;3270;4819;
0618072;"Rachanie (2)";52;57;64;66;14900;15000;17560;19000;
0618082;"Susiec (2)";25;31;30;32;6630;7530;8650;8750;
0618112;"Tomaszów Lubelski (2)";48;37;29;40;4300;3630;3710;2830;
0618123;"Tyszowce (3)";3;2;6;0;450;500;1060;0;
0619011;"Włodawa (1)";68;77;37;61;25350;36530;34000;13960;
0619022;"Hanna (2)";19;24;18;17;3560;3220;2750;2182;
0619032;"Hańsk (2)";53;49;50;47;8250;7850;7980;7340;
0620022;"Grabowiec (2)";66;57;64;54;15374;12538;25380;33830;
0620032;"Komarów-Osada (2)";58;66;73;71;985;1260;1770;1850;
0620043;"Krasnobród (3)";179;169;263;233;42038;37514;36393;20126;
0620072;"Nielisz (2)";20;25;31;28;6685;14149;3654;9434;
0620082;"Radecznica (2)";16;16;5;3;2150;3730;1335;580;
0620092;"Sitno (2)";22;30;52;57;2671;2857;4415;5336;
0620102;"Skierbieszów (2)";56;57;50;68;5660;6090;6050;6150;
0620112;"Stary Zamość (2)";34;32;30;32;4674;2570;3588;4361;
0620133;"Szczebrzeszyn (3)";175;130;97;110;21500;28550;12760;15000;
0620142;"Zamość (2)";209;86;79;49;22961;13925;11411;7040;
0620153;"Zwierzyniec (3)";108;98;126;97;37238;9355;11419;11808;
0661011;"Biała Podlaska (1)";234;203;124;219;50498;50810;51300;45190;
0662011;"Chełm (1)";162;158;160;116;64260;66216;67195;65300;
0663011;"Lublin (1)";2940;2936;3282;3139;334160;303523;1169473;959257;
0664011;"Zamość (1)";132;170;183;180;89650;112025;86612;85890;
0801011;"Kostrzyn nad Odrą (1)";229;238;205;175;26163;37182;33665;31030;
0801042;"Kłodawa (2)";43;38;29;26;5070;5480;5150;8380;
0801062;"Santok (2)";33;81;79;59;4750;7405;7461;5465;
0801073;"Witnica (3)";138;22;11;11;12650;4050;8600;8600;
0802011;"Gubin (1)";69;54;52;46;8870;8270;7120;6787;
0802063;"Krosno Odrzańskie (3)";82;52;71;57;9850;9170;8500;9140;
0803023;"Międzyrzecz (3)";117;123;116;147;31045;26465;27180;38350;
0803032;"Przytoczna (2)";66;70;65;67;5180;7415;5710;5425;
0803042;"Pszczew (2)";52;50;43;60;17600;16950;10500;18850;
0803053;"Skwierzyna (3)";62;81;90;108;17115;25250;27800;25812;
0803063;"Trzciel (3)";33;33;34;33;1910;2000;2530;2000;
0804011;"Nowa Sól (1)";270;45;0;0;25796;8220;0;0;
0804023;"Bytom Odrzański (3)";33;38;38;36;8000;9080;10385;10265;
0804032;"Kolsko (2)";30;31;12;45;2910;4090;2250;2700;
0804043;"Kożuchów (3)";29;35;62;55;8220;24320;13530;7590;
0804063;"Nowe Miasteczko (3)";17;43;47;49;490;710;760;750;
0804073;"Otyń (3)";;;52;51;;;9450;8280;
0804082;"Siedlisko (2)";16;23;25;44;8000;9120;10070;3065;
0805013;"Cybinka (3)";70;50;47;69;3820;2720;2000;1882;
0805022;"Górzyca (2)";34;45;47;46;2500;3449;4870;5624;
0805033;"Ośno Lubuskie (3)";43;37;51;60;2765;2228;2760;2375;
0805043;"Rzepin (3)";95;94;95;87;15130;13110;13413;12901;
0805053;"Słubice (3)";463;201;200;164;56004;44785;45332;40325;
0806023;"Drezdenko (3)";34;56;69;71;16009;27967;31350;13387;
0806032;"Stare Kurowo (2)";37;40;42;58;9110;9550;10050;10480;
0806043;"Strzelce Krajeńskie (3)";129;127;116;112;13600;13680;26825;32780;
0806052;"Zwierzyn (2)";64;54;15;46;3110;2930;750;4530;
0807012;"Krzeszyce (2)";68;58;56;63;12320;13200;14200;14330;
0807023;"Lubniewice (3)";20;25;30;25;2250;1670;2770;1330;
0807043;"Sulęcin (3)";83;81;119;166;7399;10020;29200;32910;
0807053;"Torzym (3)";99;75;129;121;5585;3381;3971;3115;
0808042;"Szczaniec (2)";24;31;51;49;1565;1793;3265;3155;
0808053;"Świebodzin (3)";243;246;249;209;20855;23995;24425;32670;
0808063;"Zbąszynek (3)";23;116;41;50;22420;28120;13110;13450;
0809013;"Babimost (3)";34;28;18;21;8953;8408;6018;5980;
0809022;"Bojadła (2)";38;37;43;45;9910;7904;6544;4775;
0809033;"Czerwieńsk (3)";35;31;19;19;3880;3000;2000;2000;
0809043;"Kargowa (3)";75;75;75;65;7610;7650;7650;6815;
0809053;"Nowogród Bobrzański (3)";21;16;2;28;2960;2000;500;4930;
0809063;"Sulechów (3)";397;260;205;215;24570;24905;32275;32940;
0809072;"Świdnica (2)";13;32;37;50;1170;2530;3310;2250;
0809082;"Trzebiechów (2)";94;82;78;38;6870;10360;9570;5040;
0810011;"Gozdnica (1)";14;8;24;23;4150;530;4300;3530;
0810021;"Żagań (1)";139;96;134;184;28586;54654;47732;44861;
0810043;"Iłowa (3)";185;185;185;78;8793;8793;8793;7436;
0810053;"Małomice (3)";31;30;12;192;9389;7005;5970;5060;
0810062;"Niegosławice (2)";236;274;303;235;6710;10221;10630;8615;
0810073;"Szprotawa (3)";124;156;118;124;20014;21845;20530;16690;
0810082;"Wymiarki (2)";83;80;76;20;2479;2185;2924;621;
0811011;"Łęknica (1)";33;36;60;24;3185;4350;5110;3100;
0811021;"Żary (1)";364;329;256;248;185098;129256;177105;225889;
0811043;"Jasień (3)";31;27;30;36;2530;2100;2200;2600;
0811063;"Lubsko (3)";515;451;605;547;43971;50880;45557;44711;
0811082;"Trzebiel (2)";34;78;62;62;3274;5848;5104;4660;
0812013;"Sława (3)";156;156;99;149;20057;20057;12625;17748;
0812023;"Szlichtyngowa (3)";12;10;8;15;445;235;260;674;
0812033;"Wschowa (3)";152;65;118;87;9960;23760;10150;5030;
0861011;"Gorzów Wielkopolski (1)";857;1014;873;577;72353;67784;58855;52618;
0862011;"Zielona Góra (1)";289;363;475;479;96728;71484;206896;201162;
1001011;"Bełchatów (1)";419;509;749;614;57159;81459;85421;55819;
1001022;"Bełchatów (2)";56;58;0;0;1164;1320;0;0;
1001042;"Kleszczów (2)";450;264;291;353;44952;40820;39256;22912;
1001052;"Kluki (2)";11;9;11;12;609;393;580;955;
1001062;"Rusiec (2)";0;21;58;56;0;1660;2800;2600;
1001072;"Szczerców (2)";58;41;39;48;7260;5763;8840;7200;
1001083;"Zelów (3)";119;103;78;88;24216;23321;19562;22060;
1002011;"Kutno (1)";121;192;267;263;132974;133480;113261;116762;
1002022;"Bedlno (2)";44;52;35;29;4675;4515;4565;4350;
1002032;"Dąbrowice (2)";8;9;9;3;192;180;115;105;
