"Kod";"Nazwa";"przeciętna miesięczna liczba rodzin pobierających świadczenie;2018;[-]";
2002013;"Choroszcz (3)";1055;
2002023;"Czarna Białostocka (3)";674;
2002032;"Dobrzyniewo Duże (2)";704;
2002042;"Gródek (2)";292;
2002052;"Juchnowiec Kościelny (2)";1191;
2002063;"Łapy (3)";1284;
2002073;"Michałowo (3)";338;
2002082;"Poświętne (2)";228;
2002093;"Supraśl (3)";1041;
2002103;"Suraż (3)";140;
2002112;"Turośń Kościelna (2)";457;
2002123;"Tykocin (3)";405;
2002133;"Wasilków (3)";1229;
2002143;"Zabłudów (3)";644;
2002152;"Zawady (2)";183;
2003011;"Bielsk Podlaski (1)";1466;
2003021;"Brańsk (1)";252;
2003032;"Bielsk Podlaski (2)";354;
2003042;"Boćki (2)";244;
2003052;"Brańsk (2)";381;
2003062;"Orla (2)";117;
2003072;"Rudka (2)";107;
2003082;"Wyszki (2)";267;
2004011;"Grajewo (1)";1415;
2004022;"Grajewo (2)";431;
2004032;"Radziłów (2)";356;
2004043;"Rajgród (3)";362;
2004053;"Szczuczyn (3)";430;
2004062;"Wąsosz (2)";269;
2005011;"Hajnówka (1)";1140;
2005022;"Białowieża (2)";75;
2005032;"Czeremcha (2)";135;
2005042;"Czyże (2)";89;
2005052;"Dubicze Cerkiewne (2)";63;
2005062;"Hajnówka (2)";212;
2005073;"Kleszczele (3)";102;
2005082;"Narew (2)";174;
2005092;"Narewka (2)";150;
2006011;"Kolno (1)";615;
2006022;"Grabowo (2)";259;
2006032;"Kolno (2)";662;
2006042;"Mały Płock (2)";347;
2006053;"Stawiski (3)";446;
2006062;"Turośl (2)";463;
2007013;"Jedwabne (3)";392;
2007022;"Łomża (2)";783;
2007032;"Miastkowo (2)";364;
2007043;"Nowogród (3)";278;
2007052;"Piątnica (2)";740;
2007062;"Przytuły (2)";155;
2007072;"Śniadowo (2)";384;
2007082;"Wizna (2)";274;
2007092;"Zbójna (2)";324;
2008013;"Goniądz (3)";294;
2008022;"Jasionówka (2)";175;
2008032;"Jaświły (2)";275;
2008043;"Knyszyn (3)";275;
2008052;"Krypno (2)";256;
2008063;"Mońki (3)";939;
2008072;"Trzcianne (2)";261;
2009011;"Sejny (1)";304;
2009022;"Giby (2)";182;
2009032;"Krasnopol (2)";274;
2009042;"Puńsk (2)";280;
2009052;"Sejny (2)";300;
2010011;"Siemiatycze (1)";851;
2010023;"Drohiczyn (3)";332;
2010032;"Dziadkowice (2)";162;
2010042;"Grodzisk (2)";232;
2010052;"Mielnik (2)";109;
2010062;"Milejczyce (2)";82;
2010072;"Nurzec-Stacja (2)";199;
2010082;"Perlejewo (2)";163;
2010092;"Siemiatycze (2)";328;
2011013;"Dąbrowa Białostocka (3)";677;
2011022;"Janów (2)";261;
2011032;"Korycin (2)";212;
2011043;"Krynki (3)";157;
2011052;"Kuźnica (2)";223;
2011062;"Nowy Dwór (2)";155;
2011072;"Sidra (2)";189;
2011083;"Sokółka (3)";1588;
2011093;"Suchowola (3)";456;
2011102;"Szudziałowo (2)";156;
2012012;"Bakałarzewo (2)";220;
2012022;"Filipów (2)";326;
2012032;"Jeleniewo (2)";249;
2012042;"Przerośl (2)";218;
2012052;"Raczki (2)";410;
2012062;"Rutka-Tartak (2)";185;
2012072;"Suwałki (2)";553;
2012082;"Szypliszki (2)";310;
2012092;"Wiżajny (2)";163;
2013011;"Wysokie Mazowieckie (1)";646;
2013023;"Ciechanowiec (3)";505;
2013033;"Czyżew (3)";459;
2013042;"Klukowo (2)";306;
2013052;"Kobylin-Borzymy (2)";214;
2013062;"Kulesze Kościelne (2)";219;
2013072;"Nowe Piekuty (2)";269;
2013082;"Sokoły (2)";389;
2013093;"Szepietowo (3)";512;
2013102;"Wysokie Mazowieckie (2)";417;
2014011;"Zambrów (1)";1325;
2014022;"Kołaki Kościelne (2)";167;
2014032;"Rutki (2)";391;
2014042;"Szumowo (2)";366;
2014052;"Zambrów (2)";673;
2061011;"Białystok (1)";17722;
2062011;"Łomża (1)";3907;
2063011;"Suwałki (1)";4485;
2201012;"Borzytuchom (2)";247;
2201023;"Bytów (3)";1824;
2201032;"Czarna Dąbrówka (2)";483;
2201042;"Kołczygłowy (2)";307;
2201052;"Lipnica (2)";405;
2201063;"Miastko (3)";1178;
2201072;"Parchowo (2)";324;
2201082;"Studzienice (2)";274;
2201092;"Trzebielino (2)";266;
2201102;"Tuchomie (2)";322;
2202011;"Chojnice (1)";2598;
2202023;"Brusy (3)";1267;
2202032;"Chojnice (2)";1385;
2202043;"Czersk (3)";1705;
2202052;"Konarzyny (2)";180;
2203011;"Człuchów (1)";768;
2203023;"Czarne (3)";559;
2203032;"Człuchów (2)";815;
2203043;"Debrzno (3)";607;
2203052;"Koczała (2)";200;
2203062;"Przechlewo (2)";417;
2203072;"Rzeczenica (2)";224;
2204011;"Pruszcz Gdański (1)";2285;
2204022;"Cedry Wielkie (2)";516;
2204032;"Kolbudy (2)";1358;
2204042;"Pruszcz Gdański (2)";2584;
2204052;"Przywidz (2)";416;
2204062;"Pszczółki (2)";759;
2204072;"Suchy Dąb (2)";327;
2204082;"Trąbki Wielkie (2)";847;
2205012;"Chmielno (2)";758;
2205023;"Kartuzy (3)";3410;
2205032;"Przodkowo (2)";974;
2205042;"Sierakowice (2)";2150;
2205052;"Somonino (2)";1078;
2205062;"Stężyca (2)";1063;
2205072;"Sulęczyno (2)";561;
2205083;"Żukowo (3)";3483;
2206011;"Kościerzyna (1)";1751;
2206022;"Dziemiany (2)";363;
2206032;"Karsin (2)";522;
2206042;"Kościerzyna (2)";1360;
2206052;"Liniewo (2)";387;
2206062;"Lipusz (2)";315;
2206072;"Nowa Karczma (2)";691;
2206082;"Stara Kiszewa (2)";567;
2207011;"Kwidzyn (1)";2359;
2207022;"Gardeja (2)";615;
2207032;"Kwidzyn (2)";826;
2207043;"Prabuty (3)";855;
2207052;"Ryjewo (2)";407;
2207062;"Sadlinki (2)";433;
2208011;"Lębork (1)";2160;
2208021;"Łeba (1)";169;
2208032;"Cewice (2)";699;
2208042;"Nowa Wieś Lęborska (2)";1016;
2208052;"Wicko (2)";443;
2209011;"Malbork (1)";2249;
2209032;"Lichnowy (2)";333;
2209042;"Malbork (2)";327;
2209062;"Miłoradz (2)";236;
2209073;"Nowy Staw (3)";530;
2209082;"Stare Pole (2)";336;
2210011;"Krynica Morska (1)";67;
2210023;"Nowy Dwór Gdański (3)";1185;
2210032;"Ostaszewo (2)";209;
2210042;"Stegna (2)";646;
2210052;"Sztutowo (2)";218;
2211011;"Hel (1)";169;
2211023;"Jastarnia (3)";232;
2211031;"Puck (1)";752;
2211043;"Władysławowo (3)";1062;
2211052;"Kosakowo (2)";1172;
2211062;"Krokowa (2)";863;
2211072;"Puck (2)";2231;
2212011;"Ustka (1)";659;
2212022;"Damnica (2)";380;
2212032;"Dębnica Kaszubska (2)";654;
2212042;"Główczyce (2)";669;
2212053;"Kępice (3)";521;
2212062;"Kobylnica (2)";852;
2212072;"Potęgowo (2)";486;
2212082;"Słupsk (2)";1228;
2212092;"Smołdzino (2)";192;
2212102;"Ustka (2)";529;
2213013;"Czarna Woda (3)";212;
2213021;"Skórcz (1)";258;
2213031;"Starogard Gdański (1)";3099;
2213042;"Bobowo (2)";243;
2213052;"Kaliska (2)";408;
2213062;"Lubichowo (2)";561;
2213072;"Osieczna (2)";207;
2213082;"Osiek (2)";140;
2213093;"Skarszewy (3)";1114;
2213102;"Skórcz (2)";329;
2213112;"Smętowo Graniczne (2)";347;
2213122;"Starogard Gdański (2)";1310;
2213132;"Zblewo (2)";993;
2214011;"Tczew (1)";3815;
2214023;"Gniew (3)";1019;
2214032;"Morzeszczyn (2)";247;
2214043;"Pelplin (3)";1082;
2214052;"Subkowy (2)";434;
2214062;"Tczew (2)";1181;
2215011;"Reda (1)";1950;
2215021;"Rumia (1)";3130;
2215031;"Wejherowo (1)";3447;
2215042;"Choczewo (2)";386;
2215052;"Gniewino (2)";609;
2215062;"Linia (2)";595;
2215072;"Luzino (2)";1555;
2215082;"Łęczyce (2)";1069;
2215092;"Szemud (2)";1696;
2215102;"Wejherowo (2)";2418;
2216013;"Dzierzgoń (3)";631;
2216022;"Mikołajki Pomorskie (2)";281;
2216032;"Stary Dzierzgoń (2)";251;
2216042;"Stary Targ (2)";397;
2216053;"Sztum (3)";1145;
2261011;"Gdańsk (1)";24769;
2262011;"Gdynia (1)";12573;
2263011;"Słupsk (1)";4671;
2264011;"Sopot (1)";1279;
2401011;"Będzin (1)";2988;
2401021;"Czeladź (1)";1455;
2401031;"Wojkowice (1)";448;
2401042;"Bobrowniki (2)";622;
2401052;"Mierzęcice (2)";459;
2401062;"Psary (2)";644;
2401073;"Siewierz (3)";804;
2401081;"Sławków (1)";397;
2402011;"Szczyrk (1)";354;
2402022;"Bestwina (2)";774;
2402032;"Buczkowice (2)";754;
2402043;"Czechowice-Dziedzice (3)";2752;
2402052;"Jasienica (2)";1880;
2402062;"Jaworze (2)";426;
2402072;"Kozy (2)";874;
2402082;"Porąbka (2)";996;
2402093;"Wilamowice (3)";1276;
2402102;"Wilkowice (2)";701;
2403011;"Cieszyn (1)";1804;
2403021;"Ustroń (1)";891;
2403031;"Wisła (1)";671;
2403042;"Brenna (2)";791;
2403052;"Chybie (2)";712;
2403062;"Dębowiec (2)";408;
2403072;"Goleszów (2)";789;
2403082;"Hażlach (2)";667;
2403092;"Istebna (2)";1022;
2403103;"Skoczów (3)";1790;
2403113;"Strumień (3)";938;
2403122;"Zebrzydowice (2)";806;
2404013;"Blachownia (3)";789;
2404022;"Dąbrowa Zielona (2)";221;
2404032;"Janów (2)";394;
2404042;"Kamienica Polska (2)";362;
2404052;"Kłomnice (2)";771;
2404063;"Koniecpol (3)";596;
2404072;"Konopiska (2)";668;
2404082;"Kruszyna (2)";319;
2404092;"Lelów (2)";300;
2404102;"Mstów (2)";694;
2404112;"Mykanów (2)";1102;
2404122;"Olsztyn (2)";575;
2404132;"Poczesna (2)";781;
2404142;"Przyrów (2)";224;
2404152;"Rędziny (2)";636;
2404162;"Starcza (2)";195;
2405011;"Knurów (1)";2222;
2405021;"Pyskowice (1)";930;
2405032;"Gierałtowice (2)";830;
2405042;"Pilchowice (2)";755;
2405052;"Rudziniec (2)";563;
2405063;"Sośnicowice (3)";537;
2405073;"Toszek (3)";474;
2405082;"Wielowieś (2)";308;
2406013;"Kłobuck (3)";1316;
2406023;"Krzepice (3)";517;
2406032;"Lipie (2)";427;
2406042;"Miedźno (2)";561;
2406052;"Opatów (2)";475;
2406062;"Panki (2)";326;
2406072;"Popów (2)";398;
2406082;"Przystajń (2)";393;
2406092;"Wręczyca Wielka (2)";1196;
2407011;"Lubliniec (1)";1436;
2407022;"Boronów (2)";227;
2407032;"Ciasna (2)";383;
2407042;"Herby (2)";410;
2407052;"Kochanowice (2)";425;
2407062;"Koszęcin (2)";808;
2407072;"Pawonków (2)";410;
2407083;"Woźniki (3)";632;
2408011;"Łaziska Górne (1)";1326;
2408021;"Mikołów (1)";2391;
2408031;"Orzesze (1)";1475;
2408042;"Ornontowice (2)";429;
2408052;"Wyry (2)";635;
2409011;"Myszków (1)";1847;
2409023;"Koziegłowy (3)";995;
2409032;"Niegowa (2)";436;
2409042;"Poraj (2)";581;
2409053;"Żarki (3)";595;
2410012;"Goczałkowice-Zdrój (2)";451;
2410022;"Kobiór (2)";326;
2410032;"Miedźna (2)";1133;
2410042;"Pawłowice (2)";1273;
2410053;"Pszczyna (3)";3900;
2410062;"Suszec (2)";952;
2411011;"Racibórz (1)";2489;
2411022;"Kornowac (2)";331;
2411033;"Krzanowice (3)";233;
2411042;"Krzyżanowice (2)";478;
2411053;"Kuźnia Raciborska (3)";542;
2411062;"Nędza (2)";360;
2411072;"Pietrowice Wielkie (2)";296;
2411082;"Rudnik (2)";264;
2412013;"Czerwionka-Leszczyny (3)";2577;
2412022;"Gaszowice (2)";686;
2412032;"Jejkowice (2)";299;
2412042;"Lyski (2)";568;
2412052;"Świerklany (2)";908;
2413011;"Kalety (1)";460;
2413021;"Miasteczko Śląskie (1)";438;
2413031;"Radzionków (1)";945;
2413041;"Tarnowskie Góry (1)";3442;
2413052;"Krupski Młyn (2)";167;
2413062;"Ożarowice (2)";368;
2413072;"Świerklaniec (2)";757;
2413082;"Tworóg (2)";458;
2413092;"Zbrosławice (2)";944;
2414011;"Bieruń (1)";1183;
2414021;"Imielin (1)";593;
2414031;"Lędziny (1)";1078;
2414042;"Bojszowy (2)";570;
2414052;"Chełm Śląski (2)";361;
2415011;"Pszów (1)";731;
2415021;"Radlin (1)";1063;
2415031;"Rydułtowy (1)";1246;
2415041;"Wodzisław Śląski (1)";2552;
2415052;"Godów (2)";809;
2415062;"Gorzyce (2)";1292;
2415072;"Lubomia (2)";473;
2415082;"Marklowice (2)";348;
2415092;"Mszana (2)";532;
2416011;"Poręba (1)";460;
2416021;"Zawiercie (1)";2733;
2416032;"Irządze (2)";167;
2416042;"Kroczyce (2)";431;
2416053;"Łazy (3)";823;
2416063;"Ogrodzieniec (3)";486;
2416073;"Pilica (3)";494;
2416083;"Szczekociny (3)";455;
2416092;"Włodowice (2)";306;
2416102;"Żarnowiec (2)";366;
2417011;"Żywiec (1)";1820;
2417022;"Czernichów (2)";401;
2417032;"Gilowice (2)";436;
2417042;"Jeleśnia (2)";807;
2417052;"Koszarawa (2)";151;
2417062;"Lipowa (2)";746;
2417072;"Łękawica (2)";301;
2417082;"Łodygowice (2)";967;
2417092;"Milówka (2)";688;
2417102;"Radziechowy-Wieprz (2)";893;
2417112;"Rajcza (2)";563;
2417122;"Ślemień (2)";218;
2417132;"Świnna (2)";570;
2417142;"Ujsoły (2)";300;
2417152;"Węgierska Górka (2)";1041;
2461011;"Bielsko-Biała (1)";9249;
2462011;"Bytom (1)";8589;
2463011;"Chorzów (1)";5826;
2464011;"Częstochowa (1)";11383;
2465011;"Dąbrowa Górnicza (1)";5886;
2466011;"Gliwice (1)";8940;
2467011;"Jastrzębie-Zdrój (1)";4708;
2468011;"Jaworzno (1)";4702;
2469011;"Katowice (1)";13176;
2470011;"Mysłowice (1)";4192;
2471011;"Piekary Śląskie (1)";2847;
2472011;"Ruda Śląska (1)";7624;
2473011;"Rybnik (1)";7984;
2474011;"Siemianowice Śląskie (1)";3585;
2475011;"Sosnowiec (1)";8701;
2476011;"Świętochłowice (1)";2836;
2477011;"Tychy (1)";6527;
2478011;"Zabrze (1)";8389;
2479011;"Żory (1)";3798;
2601013;"Busko-Zdrój (3)";1845;
2601022;"Gnojno (2)";331;
2601032;"Nowy Korczyn (2)";369;
2601042;"Pacanów (2)";431;
2601052;"Solec-Zdrój (2)";342;
2601063;"Stopnica (3)";536;
2601072;"Tuczępy (2)";252;
2601083;"Wiślica (3)";344;
2602012;"Imielno (2)";326;
2602023;"Jędrzejów (3)";1876;
2602033;"Małogoszcz (3)";741;
2602042;"Nagłowice (2)";337;
2602052;"Oksa (2)";318;
2602063;"Sędziszów (3)";769;
2602072;"Słupia (2)";287;
2602082;"Sobków (2)";598;
2602092;"Wodzisław (2)";406;
2603012;"Bejsce (2)";205;
2603022;"Czarnocin (2)";201;
2603033;"Kazimierza Wielka (3)";936;
2603042;"Opatowiec (2)";163;
2603053;"Skalbmierz (3)";420;
2604012;"Bieliny (2)";854;
2604023;"Bodzentyn (3)";854;
2604033;"Chęciny (3)";1001;
2604043;"Chmielnik (3)";813;
2604053;"Daleszyce (3)";1228;
2604062;"Górno (2)";1287;
2604073;"Łagów (3)";536;
2604082;"Łopuszno (2)";652;
2604092;"Masłów (2)";852;
2604102;"Miedziana Góra (2)";811;
2604112;"Mniów (2)";749;
2604123;"Morawica (3)";1388;
2604132;"Nowa Słupia (2)";667;
2604142;"Piekoszów (2)";1204;
2604152;"Pierzchnica (2)";332;
2604162;"Raków (2)";382;
2604172;"Nowiny (2)";510;
2604182;"Strawczyn (2)";883;
2604192;"Zagnańsk (2)";718;
2605012;"Fałków (2)";282;
2605022;"Gowarczów (2)";306;
2605033;"Końskie (3)";1970;
2605043;"Radoszyce (3)";616;
2605052;"Ruda Maleniecka (2)";189;
2605062;"Słupia Konecka (2)";227;
2605072;"Smyków (2)";301;
2605083;"Stąporków (3)";785;
2606012;"Baćkowice (2)";315;
2606022;"Iwaniska (2)";493;
2606032;"Lipnik (2)";329;
2606043;"Opatów (3)";641;
2606053;"Ożarów (3)";685;
2606062;"Sadowie (2)";236;
2606072;"Tarłów (2)";282;
2606082;"Wojciechowice (2)";239;
2607011;"Ostrowiec Świętokrzyski (1)";3467;
2607022;"Bałtów (2)";204;
2607032;"Bodzechów (2)";751;
2607043;"Ćmielów (3)";394;
2607053;"Kunów (3)";605;
2607062;"Waśniów (2)";452;
2608013;"Działoszyce (3)";289;
2608022;"Kije (2)";270;
2608032;"Michałów (2)";306;
2608043;"Pińczów (3)";1187;
2608052;"Złota (2)";244;
2609011;"Sandomierz (1)";1220;
2609022;"Dwikozy (2)";585;
2609032;"Klimontów (2)";558;
2609043;"Koprzywnica (3)";429;
2609052;"Łoniów (2)";527;
2609062;"Obrazów (2)";461;
2609072;"Samborzec (2)";592;
2609082;"Wilczyce (2)";235;
2609093;"Zawichost (3)";279;
2610011;"Skarżysko-Kamienna (1)";2218;
2610022;"Bliżyn (2)";450;
2610032;"Łączna (2)";349;
2610042;"Skarżysko Kościelne (2)";360;
2610053;"Suchedniów (3)";543;
2611011;"Starachowice (1)";2376;
2611022;"Brody (2)";704;
2611032;"Mirzec (2)";541;
2611042;"Pawłów (2)";1194;
2611053;"Wąchock (3)";373;
2612012;"Bogoria (2)";591;
2612022;"Łubnice (2)";268;
2612032;"Oleśnica (2)";256;
2612043;"Osiek (3)";566;
2612053;"Połaniec (3)";719;
2612062;"Rytwiany (2)";391;
2612073;"Staszów (3)";1567;
2612082;"Szydłów (2)";308;
2613012;"Kluczewsko (2)";379;
2613022;"Krasocin (2)";738;
2613032;"Moskorzew (2)";163;
2613042;"Radków (2)";146;
2613052;"Secemin (2)";304;
2613063;"Włoszczowa (3)";1196;
2661011;"Kielce (1)";10378;
2801011;"Bartoszyce (1)";1391;
2801021;"Górowo Iławeckie (1)";249;
2801032;"Bartoszyce (2)";757;
2801043;"Bisztynek (3)";416;
2801052;"Górowo Iławeckie (2)";496;
2801063;"Sępopol (3)";408;
2802011;"Braniewo (1)";1055;
2802022;"Braniewo (2)";391;
2802033;"Frombork (3)";193;
2802042;"Lelkowo (2)";173;
2802053;"Pieniężno (3)";396;
2802062;"Płoskinia (2)";165;
2802072;"Wilczęta (2)";215;
2803011;"Działdowo (1)";1327;
2803022;"Działdowo (2)";770;
2803032;"Iłowo-Osada (2)";537;
2803043;"Lidzbark (3)";1003;
2803052;"Płośnica (2)";414;
2803062;"Rybno (2)";581;
2804012;"Elbląg (2)";543;
2804022;"Godkowo (2)";203;
2804032;"Gronowo Elbląskie (2)";337;
2804042;"Markusy (2)";335;
2804052;"Milejewo (2)";246;
2804063;"Młynary (3)";320;
2804073;"Pasłęk (3)";1322;
2804082;"Rychliki (2)";277;
2804093;"Tolkmicko (3)";398;
2805011;"Ełk (1)";3935;
2805022;"Ełk (2)";774;
2805032;"Kalinowo (2)";406;
2805042;"Prostki (2)";529;
2805052;"Stare Juchy (2)";227;
2806011;"Giżycko (1)";1767;
2806042;"Giżycko (2)";562;
2806052;"Kruklanki (2)";227;
2806062;"Miłki (2)";277;
2806083;"Ryn (3)";372;
2806102;"Wydminy (2)";474;
2807011;"Iława (1)";1984;
2807021;"Lubawa (1)";813;
2807032;"Iława (2)";1017;
2807043;"Kisielice (3)";460;
2807052;"Lubawa (2)";914;
2807063;"Susz (3)";998;
2807073;"Zalewo (3)";424;
2808011;"Kętrzyn (1)";1577;
2808022;"Barciany (2)";441;
2808032;"Kętrzyn (2)";605;
2808043;"Korsze (3)";606;
2808053;"Reszel (3)";401;
2808062;"Srokowo (2)";231;
2809011;"Lidzbark Warmiński (1)";922;
2809022;"Kiwity (2)";241;
2809032;"Lidzbark Warmiński (2)";456;
2809042;"Lubomino (2)";250;
2809053;"Orneta (3)";763;
2810011;"Mrągowo (1)";1260;
2810023;"Mikołajki (3)";504;
2810032;"Mrągowo (2)";548;
2810042;"Piecki (2)";534;
2810052;"Sorkwity (2)";318;
2811012;"Janowiec Kościelny (2)";262;
2811022;"Janowo (2)";204;
2811032;"Kozłowo (2)";417;
2811043;"Nidzica (3)";1357;
2812011;"Nowe Miasto Lubawskie (1)";742;
2812022;"Biskupiec (2)";704;
2812032;"Grodziczno (2)";551;
2812042;"Kurzętnik (2)";764;
2812052;"Nowe Miasto Lubawskie (2)";683;
2813032;"Kowale Oleckie (2)";346;
2813043;"Olecko (3)";1593;
2813052;"Świętajno (2)";245;
2813062;"Wieliczki (2)";232;
2814013;"Barczewo (3)";1266;
2814023;"Biskupiec (3)";1251;
2814033;"Dobre Miasto (3)";955;
2814042;"Dywity (2)";858;
2814052;"Gietrzwałd (2)";451;
2814063;"Jeziorany (3)";464;
2814072;"Jonkowo (2)";546;
2814082;"Kolno (2)";171;
2814093;"Olsztynek (3)";853;
2814102;"Purda (2)";602;
2814112;"Stawiguda (2)";794;
2814122;"Świątki (2)";294;
2815011;"Ostróda (1)";1952;
2815022;"Dąbrówno (2)";310;
2815032;"Grunwald (2)";459;
2815042;"Łukta (2)";343;
2815052;"Małdyty (2)";387;
2815063;"Miłakowo (3)";364;
2815073;"Miłomłyn (3)";358;
2815083;"Morąg (3)";1766;
2815092;"Ostróda (2)";1108;
2816013;"Biała Piska (3)";796;
2816023;"Orzysz (3)";617;
2816033;"Pisz (3)";1866;
2816043;"Ruciane-Nida (3)";416;
2817011;"Szczytno (1)";1358;
2817022;"Dźwierzuty (2)";448;
2817032;"Jedwabno (2)";257;
2817043;"Pasym (3)";369;
2817052;"Rozogi (2)";447;
2817062;"Szczytno (2)";1065;
2817072;"Świętajno (2)";436;
2817082;"Wielbark (2)";561;
2818012;"Banie Mazurskie (2)";221;
2818022;"Dubeninki (2)";181;
2818033;"Gołdap (3)";1394;
2819012;"Budry (2)";193;
2819022;"Pozezdrze (2)";199;
2819033;"Węgorzewo (3)";987;
2861011;"Elbląg (1)";6259;
2862011;"Olsztyn (1)";9345;
3001011;"Chodzież (1)";1052;
3001022;"Budzyń (2)";627;
3001032;"Chodzież (2)";441;
3001043;"Margonin (3)";518;
3001053;"Szamocin (3)";558;
3002011;"Czarnków (1)";667;
3002022;"Czarnków (2)";853;
3002032;"Drawsko (2)";441;
3002043;"Krzyż Wielkopolski (3)";538;
3002052;"Lubasz (2)";604;
3002062;"Połajewo (2)";515;
3002073;"Trzcianka (3)";1591;
3002083;"Wieleń (3)";838;
3003011;"Gniezno (1)";4446;
3003023;"Czerniejewo (3)";584;
3003032;"Gniezno (2)";1134;
3003042;"Kiszkowo (2)";424;
3003053;"Kłecko (3)";581;
3003062;"Łubowo (2)";547;
3003072;"Mieleszyn (2)";313;
3003082;"Niechanowo (2)";494;
3003093;"Trzemeszno (3)";1107;
3003103;"Witkowo (3)";986;
3004013;"Borek Wielkopolski (3)";534;
3004023;"Gostyń (3)";1874;
3004033;"Krobia (3)";944;
3004042;"Pępowo (2)";454;
3004052;"Piaski (2)";628;
3004063;"Pogorzela (3)";398;
3004073;"Poniec (3)";594;
3005012;"Granowo (2)";422;
3005023;"Grodzisk Wielkopolski (3)";1462;
3005032;"Kamieniec (2)";518;
3005043;"Rakoniewice (3)";1193;
3005053;"Wielichowo (3)";576;
3006013;"Jaraczewo (3)";629;
3006023;"Jarocin (3)";3261;
3006032;"Kotlin (2)";606;
3006043;"Żerków (3)";776;
3007012;"Blizanów (2)";733;
3007022;"Brzeziny (2)";525;
3007032;"Ceków-Kolonia (2)";363;
3007042;"Godziesze Wielkie (2)";812;
3007052;"Koźminek (2)";615;
3007062;"Lisków (2)";397;
3007072;"Mycielin (2)";371;
3007083;"Opatówek (3)";772;
3007093;"Stawiszyn (3)";504;
3007102;"Szczytniki (2)";646;
3007112;"Żelazków (2)";736;
3008012;"Baranów (2)";711;
3008022;"Bralin (2)";516;
3008033;"Kępno (3)";1795;
3008042;"Łęka Opatowska (2)";428;
3008052;"Perzów (2)";262;
3008062;"Rychtal (2)";269;
3008072;"Trzcinica (2)";386;
3009011;"Koło (1)";1261;
3009022;"Babiak (2)";547;
3009032;"Chodów (2)";185;
3009043;"Dąbie (3)";415;
3009052;"Grzegorzew (2)";410;
3009063;"Kłodawa (3)";833;
3009072;"Koło (2)";583;
3009082;"Kościelec (2)";505;
3009092;"Olszówka (2)";297;
3009102;"Osiek Mały (2)";450;
3009113;"Przedecz (3)";340;
3010013;"Golina (3)";824;
3010022;"Grodziec (2)";409;
3010032;"Kazimierz Biskupi (2)";771;
3010043;"Kleczew (3)";666;
3010052;"Kramsk (2)";888;
3010062;"Krzymów (2)";579;
3010073;"Rychwał (3)";598;
3010082;"Rzgów (2)";515;
3010092;"Skulsk (2)";499;
3010103;"Sompolno (3)";789;
3010112;"Stare Miasto (2)";919;
3010123;"Ślesin (3)";940;
3010132;"Wierzbinek (2)";594;
3010142;"Wilczyn (2)";489;
3011011;"Kościan (1)";1485;
3011023;"Czempiń (3)";849;
3011032;"Kościan (2)";1152;
3011043;"Krzywiń (3)";764;
3011053;"Śmigiel (3)";1405;
3012011;"Sulmierzyce (1)";227;
3012023;"Kobylin (3)";596;
3012033;"Koźmin Wielkopolski (3)";1031;
3012043;"Krotoszyn (3)";2693;
3012052;"Rozdrażew (2)";416;
3012063;"Zduny (3)";602;
3013012;"Krzemieniewo (2)";624;
3013022;"Lipno (2)";726;
3013033;"Osieczna (3)";683;
3013043;"Rydzyna (3)";728;
3013052;"Święciechowa (2)";607;
3013062;"Wijewo (2)";354;
3013072;"Włoszakowice (2)";786;
3014012;"Chrzypsko Wielkie (2)";246;
3014022;"Kwilcz (2)";476;
3014033;"Międzychód (3)";1175;
3014043;"Sieraków (3)";628;
3015012;"Kuślin (2)";438;
3015023;"Lwówek (3)";697;
3015032;"Miedzichowo (2)";248;
3015043;"Nowy Tomyśl (3)";2037;
3015053;"Opalenica (3)";1150;
3015063;"Zbąszyń (3)";908;
3016013;"Oborniki (3)";2597;
3016023;"Rogoźno (3)";1400;
3016032;"Ryczywół (2)";570;
3017011;"Ostrów Wielkopolski (1)";4217;
3017023;"Nowe Skalmierzyce (3)";1117;
3017033;"Odolanów (3)";1192;
3017042;"Ostrów Wielkopolski (2)";1387;
3017052;"Przygodzice (2)";855;
3017063;"Raszków (3)";927;
3017072;"Sieroszewice (2)";689;
3017082;"Sośnie (2)";484;
3018012;"Czajków (2)";212;
3018022;"Doruchów (2)";427;
3018033;"Grabów nad Prosną (3)";535;
3018042;"Kobyla Góra (2)";495;
3018052;"Kraszewice (2)";291;
3018063;"Mikstat (3)";434;
3018073;"Ostrzeszów (3)";1554;
3019011;"Piła (1)";4152;
3019022;"Białośliwie (2)";359;
3019032;"Kaczory (2)";534;
3019043;"Łobżenica (3)";660;
3019052;"Miasteczko Krajeńskie (2)";240;
3019062;"Szydłowo (2)";653;
3019073;"Ujście (3)";480;
3019083;"Wyrzysk (3)";943;
3019093;"Wysoka (3)";489;
3020013;"Chocz (3)";363;
3020022;"Czermin (2)";421;
3020033;"Dobrzyca (3)";608;
3020042;"Gizałki (2)";420;
3020052;"Gołuchów (2)";848;
3020063;"Pleszew (3)";2176;
3021011;"Luboń (1)";2360;
3021021;"Puszczykowo (1)";607;
3021033;"Buk (3)";883;
3021042;"Czerwonak (2)";1862;
3021052;"Dopiewo (2)";2544;
3021062;"Kleszczewo (2)";778;
3021072;"Komorniki (2)";2733;
3021083;"Kostrzyn (3)";1348;
3021093;"Kórnik (3)";2341;
3021103;"Mosina (3)";2394;
