"Kod";"Nazwa";"ogółem w km2;2019;[km2]";
2003082;"Wyszki (2)";206;
2004011;"Grajewo (1)";19;
2004022;"Grajewo (2)";308;
2004032;"Radziłów (2)";200;
2004043;"Rajgród (3)";207;
2004053;"Szczuczyn (3)";116;
2004062;"Wąsosz (2)";118;
2005011;"Hajnówka (1)";21;
2005022;"Białowieża (2)";203;
2005032;"Czeremcha (2)";97;
2005042;"Czyże (2)";135;
2005052;"Dubicze Cerkiewne (2)";151;
2005062;"Hajnówka (2)";293;
2005073;"Kleszczele (3)";143;
2005082;"Narew (2)";242;
2005092;"Narewka (2)";339;
2006011;"Kolno (1)";25;
2006022;"Grabowo (2)";129;
2006032;"Kolno (2)";281;
2006042;"Mały Płock (2)";140;
2006053;"Stawiski (3)";166;
2006062;"Turośl (2)";199;
2007013;"Jedwabne (3)";159;
2007022;"Łomża (2)";207;
2007032;"Miastkowo (2)";115;
2007043;"Nowogród (3)";101;
2007052;"Piątnica (2)";220;
2007062;"Przytuły (2)";71;
2007072;"Śniadowo (2)";163;
2007082;"Wizna (2)";133;
2007092;"Zbójna (2)";186;
2008013;"Goniądz (3)";377;
2008022;"Jasionówka (2)";97;
2008032;"Jaświły (2)";175;
2008043;"Knyszyn (3)";127;
2008052;"Krypno (2)";112;
2008063;"Mońki (3)";162;
2008072;"Trzcianne (2)";332;
2009011;"Sejny (1)";4;
2009022;"Giby (2)";323;
2009032;"Krasnopol (2)";172;
2009042;"Puńsk (2)";139;
2009052;"Sejny (2)";217;
2010011;"Siemiatycze (1)";36;
2010023;"Drohiczyn (3)";208;
2010032;"Dziadkowice (2)";116;
2010042;"Grodzisk (2)";203;
2010052;"Mielnik (2)";196;
2010062;"Milejczyce (2)";151;
2010072;"Nurzec-Stacja (2)";215;
2010082;"Perlejewo (2)";107;
2010092;"Siemiatycze (2)";227;
2011013;"Dąbrowa Białostocka (3)";264;
2011022;"Janów (2)";208;
2011032;"Korycin (2)";117;
2011043;"Krynki (3)";166;
2011052;"Kuźnica (2)";133;
2011062;"Nowy Dwór (2)";121;
2011072;"Sidra (2)";174;
2011083;"Sokółka (3)";314;
2011093;"Suchowola (3)";256;
2011102;"Szudziałowo (2)";302;
2012012;"Bakałarzewo (2)";123;
2012022;"Filipów (2)";151;
2012032;"Jeleniewo (2)";131;
2012042;"Przerośl (2)";124;
2012052;"Raczki (2)";142;
2012062;"Rutka-Tartak (2)";103;
2012072;"Suwałki (2)";265;
2012082;"Szypliszki (2)";156;
2012092;"Wiżajny (2)";112;
2013011;"Wysokie Mazowieckie (1)";15;
2013023;"Ciechanowiec (3)";201;
2013033;"Czyżew (3)";130;
2013042;"Klukowo (2)";124;
2013052;"Kobylin-Borzymy (2)";119;
2013062;"Kulesze Kościelne (2)";115;
2013072;"Nowe Piekuty (2)";110;
2013082;"Sokoły (2)";156;
2013093;"Szepietowo (3)";152;
2013102;"Wysokie Mazowieckie (2)";167;
2014011;"Zambrów (1)";19;
2014022;"Kołaki Kościelne (2)";74;
2014032;"Rutki (2)";200;
2014042;"Szumowo (2)";141;
2014052;"Zambrów (2)";299;
2061011;"Białystok (1)";102;
2062011;"Łomża (1)";33;
2063011;"Suwałki (1)";66;
2201012;"Borzytuchom (2)";109;
2201023;"Bytów (3)";197;
2201032;"Czarna Dąbrówka (2)";298;
2201042;"Kołczygłowy (2)";170;
2201052;"Lipnica (2)";308;
2201063;"Miastko (3)";466;
2201072;"Parchowo (2)";131;
2201082;"Studzienice (2)";176;
2201092;"Trzebielino (2)";226;
2201102;"Tuchomie (2)";111;
2202011;"Chojnice (1)";21;
2202023;"Brusy (3)";400;
2202032;"Chojnice (2)";458;
2202043;"Czersk (3)";380;
2202052;"Konarzyny (2)";105;
2203011;"Człuchów (1)";13;
2203023;"Czarne (3)";235;
2203032;"Człuchów (2)";361;
2203043;"Debrzno (3)";224;
2203052;"Koczała (2)";223;
2203062;"Przechlewo (2)";244;
2203072;"Rzeczenica (2)";275;
2204011;"Pruszcz Gdański (1)";16;
2204022;"Cedry Wielkie (2)";124;
2204032;"Kolbudy (2)";83;
2204042;"Pruszcz Gdański (2)";144;
2204052;"Przywidz (2)";129;
2204062;"Pszczółki (2)";50;
2204072;"Suchy Dąb (2)";85;
2204082;"Trąbki Wielkie (2)";163;
2205012;"Chmielno (2)";79;
2205023;"Kartuzy (3)";206;
2205032;"Przodkowo (2)";85;
2205042;"Sierakowice (2)";183;
2205052;"Somonino (2)";112;
2205062;"Stężyca (2)";161;
2205072;"Sulęczyno (2)";131;
2205083;"Żukowo (3)";164;
2206011;"Kościerzyna (1)";16;
2206022;"Dziemiany (2)";125;
2206032;"Karsin (2)";169;
2206042;"Kościerzyna (2)";311;
2206052;"Liniewo (2)";110;
2206062;"Lipusz (2)";109;
2206072;"Nowa Karczma (2)";113;
2206082;"Stara Kiszewa (2)";213;
2207011;"Kwidzyn (1)";22;
2207022;"Gardeja (2)";193;
2207032;"Kwidzyn (2)";207;
2207043;"Prabuty (3)";197;
2207052;"Ryjewo (2)";104;
2207062;"Sadlinki (2)";112;
2208011;"Lębork (1)";18;
2208021;"Łeba (1)";17;
2208032;"Cewice (2)";188;
2208042;"Nowa Wieś Lęborska (2)";270;
2208052;"Wicko (2)";215;
2209011;"Malbork (1)";17;
2209032;"Lichnowy (2)";89;
2209042;"Malbork (2)";101;
2209062;"Miłoradz (2)";94;
2209073;"Nowy Staw (3)";114;
2209082;"Stare Pole (2)";79;
2210011;"Krynica Morska (1)";118;
2210023;"Nowy Dwór Gdański (3)";213;
2210032;"Ostaszewo (2)";61;
2210042;"Stegna (2)";170;
2210052;"Sztutowo (2)";112;
2211011;"Hel (1)";23;
2211023;"Jastarnia (3)";10;
2211031;"Puck (1)";5;
2211043;"Władysławowo (3)";42;
2211052;"Kosakowo (2)";50;
2211062;"Krokowa (2)";214;
2211072;"Puck (2)";237;
2212011;"Ustka (1)";10;
2212022;"Damnica (2)";168;
2212032;"Dębnica Kaszubska (2)";300;
2212042;"Główczyce (2)";322;
2212053;"Kępice (3)";293;
2212062;"Kobylnica (2)";244;
2212072;"Potęgowo (2)";228;
2212082;"Słupsk (2)";262;
2212092;"Smołdzino (2)";260;
2212102;"Ustka (2)";217;
2213013;"Czarna Woda (3)";28;
2213021;"Skórcz (1)";4;
2213031;"Starogard Gdański (1)";25;
2213042;"Bobowo (2)";52;
2213052;"Kaliska (2)";111;
2213062;"Lubichowo (2)";160;
2213072;"Osieczna (2)";123;
2213082;"Osiek (2)";156;
2213093;"Skarszewy (3)";170;
2213102;"Skórcz (2)";97;
2213112;"Smętowo Graniczne (2)";86;
2213122;"Starogard Gdański (2)";195;
2213132;"Zblewo (2)";138;
2214011;"Tczew (1)";22;
2214023;"Gniew (3)";194;
2214032;"Morzeszczyn (2)";91;
2214043;"Pelplin (3)";141;
2214052;"Subkowy (2)";78;
2214062;"Tczew (2)";171;
2215011;"Reda (1)";34;
2215021;"Rumia (1)";30;
2215031;"Wejherowo (1)";27;
2215042;"Choczewo (2)";183;
2215052;"Gniewino (2)";176;
2215062;"Linia (2)";120;
2215072;"Luzino (2)";111;
2215082;"Łęczyce (2)";233;
2215092;"Szemud (2)";177;
2215102;"Wejherowo (2)";194;
2216013;"Dzierzgoń (3)";131;
2216022;"Mikołajki Pomorskie (2)";92;
2216032;"Stary Dzierzgoń (2)";186;
2216042;"Stary Targ (2)";141;
2216053;"Sztum (3)";181;
2261011;"Gdańsk (1)";262;
2262011;"Gdynia (1)";135;
2263011;"Słupsk (1)";43;
2264011;"Sopot (1)";17;
2401011;"Będzin (1)";37;
2401021;"Czeladź (1)";16;
2401031;"Wojkowice (1)";13;
2401042;"Bobrowniki (2)";52;
2401052;"Mierzęcice (2)";49;
2401062;"Psary (2)";46;
2401073;"Siewierz (3)";114;
2401081;"Sławków (1)";37;
2402011;"Szczyrk (1)";39;
2402022;"Bestwina (2)";38;
2402032;"Buczkowice (2)";19;
2402043;"Czechowice-Dziedzice (3)";66;
2402052;"Jasienica (2)";93;
2402062;"Jaworze (2)";21;
2402072;"Kozy (2)";27;
2402082;"Porąbka (2)";65;
2402093;"Wilamowice (3)";57;
2402102;"Wilkowice (2)";34;
2403011;"Cieszyn (1)";29;
2403021;"Ustroń (1)";59;
2403031;"Wisła (1)";109;
2403042;"Brenna (2)";95;
2403052;"Chybie (2)";32;
2403062;"Dębowiec (2)";43;
2403072;"Goleszów (2)";66;
2403082;"Hażlach (2)";49;
2403092;"Istebna (2)";84;
2403103;"Skoczów (3)";64;
2403113;"Strumień (3)";59;
2403122;"Zebrzydowice (2)";41;
2404013;"Blachownia (3)";67;
2404022;"Dąbrowa Zielona (2)";100;
2404032;"Janów (2)";146;
2404042;"Kamienica Polska (2)";46;
2404052;"Kłomnice (2)";147;
2404063;"Koniecpol (3)";147;
2404072;"Konopiska (2)";79;
2404082;"Kruszyna (2)";94;
2404092;"Lelów (2)";124;
2404102;"Mstów (2)";120;
2404112;"Mykanów (2)";141;
2404122;"Olsztyn (2)";109;
2404132;"Poczesna (2)";60;
2404142;"Przyrów (2)";80;
2404152;"Rędziny (2)";41;
2404162;"Starcza (2)";20;
2405011;"Knurów (1)";34;
2405021;"Pyskowice (1)";31;
2405032;"Gierałtowice (2)";38;
2405042;"Pilchowice (2)";70;
2405052;"Rudziniec (2)";159;
2405063;"Sośnicowice (3)";116;
2405073;"Toszek (3)";100;
2405082;"Wielowieś (2)";116;
2406013;"Kłobuck (3)";130;
2406023;"Krzepice (3)";79;
2406032;"Lipie (2)";99;
2406042;"Miedźno (2)";113;
2406052;"Opatów (2)";73;
2406062;"Panki (2)";55;
2406072;"Popów (2)";102;
2406082;"Przystajń (2)";89;
2406092;"Wręczyca Wielka (2)";149;
2407011;"Lubliniec (1)";89;
2407022;"Boronów (2)";57;
2407032;"Ciasna (2)";134;
2407042;"Herby (2)";86;
2407052;"Kochanowice (2)";80;
2407062;"Koszęcin (2)";129;
2407072;"Pawonków (2)";119;
2407083;"Woźniki (3)";128;
2408011;"Łaziska Górne (1)";20;
2408021;"Mikołów (1)";79;
2408031;"Orzesze (1)";84;
2408042;"Ornontowice (2)";15;
2408052;"Wyry (2)";35;
2409011;"Myszków (1)";74;
2409023;"Koziegłowy (3)";160;
2409032;"Niegowa (2)";87;
2409042;"Poraj (2)";57;
2409053;"Żarki (3)";101;
2410012;"Goczałkowice-Zdrój (2)";47;
2410022;"Kobiór (2)";48;
2410032;"Miedźna (2)";50;
2410042;"Pawłowice (2)";76;
2410053;"Pszczyna (3)";175;
2410062;"Suszec (2)";75;
2411011;"Racibórz (1)";75;
2411022;"Kornowac (2)";26;
2411033;"Krzanowice (3)";47;
2411042;"Krzyżanowice (2)";70;
2411053;"Kuźnia Raciborska (3)";127;
2411062;"Nędza (2)";57;
2411072;"Pietrowice Wielkie (2)";68;
2411082;"Rudnik (2)";74;
2412013;"Czerwionka-Leszczyny (3)";115;
2412022;"Gaszowice (2)";20;
2412032;"Jejkowice (2)";8;
2412042;"Lyski (2)";57;
2412052;"Świerklany (2)";24;
2413011;"Kalety (1)";76;
2413021;"Miasteczko Śląskie (1)";68;
2413031;"Radzionków (1)";13;
2413041;"Tarnowskie Góry (1)";84;
2413052;"Krupski Młyn (2)";39;
2413062;"Ożarowice (2)";46;
2413072;"Świerklaniec (2)";45;
2413082;"Tworóg (2)";125;
2413092;"Zbrosławice (2)";148;
2414011;"Bieruń (1)";40;
2414021;"Imielin (1)";28;
2414031;"Lędziny (1)";32;
2414042;"Bojszowy (2)";35;
2414052;"Chełm Śląski (2)";23;
2415011;"Pszów (1)";20;
2415021;"Radlin (1)";13;
2415031;"Rydułtowy (1)";15;
2415041;"Wodzisław Śląski (1)";50;
2415052;"Godów (2)";38;
2415062;"Gorzyce (2)";64;
2415072;"Lubomia (2)";42;
2415082;"Marklowice (2)";14;
2415092;"Mszana (2)";31;
2416011;"Poręba (1)";40;
2416021;"Zawiercie (1)";85;
2416032;"Irządze (2)";71;
2416042;"Kroczyce (2)";110;
2416053;"Łazy (3)";133;
2416063;"Ogrodzieniec (3)";85;
2416073;"Pilica (3)";143;
2416083;"Szczekociny (3)";134;
2416092;"Włodowice (2)";77;
2416102;"Żarnowiec (2)";125;
2417011;"Żywiec (1)";51;
2417022;"Czernichów (2)";56;
2417032;"Gilowice (2)";28;
2417042;"Jeleśnia (2)";170;
2417052;"Koszarawa (2)";32;
2417062;"Lipowa (2)";59;
2417072;"Łękawica (2)";43;
2417082;"Łodygowice (2)";36;
2417092;"Milówka (2)";99;
2417102;"Radziechowy-Wieprz (2)";65;
2417112;"Rajcza (2)";131;
2417122;"Ślemień (2)";45;
2417132;"Świnna (2)";39;
2417142;"Ujsoły (2)";110;
2417152;"Węgierska Górka (2)";76;
2461011;"Bielsko-Biała (1)";125;
2462011;"Bytom (1)";69;
2463011;"Chorzów (1)";33;
2464011;"Częstochowa (1)";160;
2465011;"Dąbrowa Górnicza (1)";189;
2466011;"Gliwice (1)";134;
2467011;"Jastrzębie-Zdrój (1)";85;
2468011;"Jaworzno (1)";153;
2469011;"Katowice (1)";165;
2470011;"Mysłowice (1)";66;
2471011;"Piekary Śląskie (1)";40;
2472011;"Ruda Śląska (1)";78;
2473011;"Rybnik (1)";148;
2474011;"Siemianowice Śląskie (1)";25;
2475011;"Sosnowiec (1)";91;
2476011;"Świętochłowice (1)";13;
2477011;"Tychy (1)";82;
2478011;"Zabrze (1)";80;
2479011;"Żory (1)";65;
2601013;"Busko-Zdrój (3)";236;
2601022;"Gnojno (2)";96;
2601033;"Nowy Korczyn (3)";117;
2601043;"Pacanów (3)";125;
2601052;"Solec-Zdrój (2)";85;
2601063;"Stopnica (3)";125;
2601072;"Tuczępy (2)";84;
2601083;"Wiślica (3)";100;
2602012;"Imielno (2)";101;
2602023;"Jędrzejów (3)";227;
2602033;"Małogoszcz (3)";146;
2602042;"Nagłowice (2)";117;
2602052;"Oksa (2)";91;
2602063;"Sędziszów (3)";146;
2602072;"Słupia (2)";108;
2602082;"Sobków (2)";144;
2602092;"Wodzisław (2)";177;
2603012;"Bejsce (2)";57;
2603022;"Czarnocin (2)";70;
2603033;"Kazimierza Wielka (3)";140;
2603043;"Opatowiec (3)";69;
2603053;"Skalbmierz (3)";86;
2604012;"Bieliny (2)";88;
2604023;"Bodzentyn (3)";160;
2604033;"Chęciny (3)";127;
2604043;"Chmielnik (3)";142;
2604053;"Daleszyce (3)";222;
2604062;"Górno (2)";83;
2604073;"Łagów (3)";113;
2604082;"Łopuszno (2)";177;
2604092;"Masłów (2)";86;
2604102;"Miedziana Góra (2)";71;
2604112;"Mniów (2)";95;
2604123;"Morawica (3)";140;
2604133;"Nowa Słupia (3)";86;
2604142;"Piekoszów (2)";103;
2604153;"Pierzchnica (3)";105;
2604162;"Raków (2)";191;
2604172;"Nowiny (2)";46;
2604182;"Strawczyn (2)";86;
2604192;"Zagnańsk (2)";125;
2605012;"Fałków (2)";132;
2605022;"Gowarczów (2)";101;
2605033;"Końskie (3)";250;
2605043;"Radoszyce (3)";146;
2605052;"Ruda Maleniecka (2)";110;
2605062;"Słupia Konecka (2)";106;
2605072;"Smyków (2)";62;
2605083;"Stąporków (3)";232;
2606012;"Baćkowice (2)";96;
2606022;"Iwaniska (2)";105;
2606032;"Lipnik (2)";81;
2606043;"Opatów (3)";114;
2606053;"Ożarów (3)";183;
2606062;"Sadowie (2)";82;
2606072;"Tarłów (2)";164;
2606082;"Wojciechowice (2)";86;
2607011;"Ostrowiec Świętokrzyski (1)";46;
2607022;"Bałtów (2)";105;
2607032;"Bodzechów (2)";122;
2607043;"Ćmielów (3)";118;
2607053;"Kunów (3)";114;
2607062;"Waśniów (2)";112;
2608013;"Działoszyce (3)";106;
2608022;"Kije (2)";100;
2608032;"Michałów (2)";112;
2608043;"Pińczów (3)";213;
2608052;"Złota (2)";82;
2609011;"Sandomierz (1)";29;
2609022;"Dwikozy (2)";85;
2609032;"Klimontów (2)";99;
2609043;"Koprzywnica (3)";69;
2609052;"Łoniów (2)";87;
2609062;"Obrazów (2)";72;
2609072;"Samborzec (2)";85;
2609082;"Wilczyce (2)";70;
2609093;"Zawichost (3)";80;
2610011;"Skarżysko-Kamienna (1)";64;
2610022;"Bliżyn (2)";141;
2610032;"Łączna (2)";62;
2610042;"Skarżysko Kościelne (2)";53;
2610053;"Suchedniów (3)";75;
2611011;"Starachowice (1)";32;
2611022;"Brody (2)";161;
2611032;"Mirzec (2)";111;
2611042;"Pawłów (2)";137;
2611053;"Wąchock (3)";82;
2612012;"Bogoria (2)";123;
2612022;"Łubnice (2)";84;
2612033;"Oleśnica (3)";53;
2612043;"Osiek (3)";129;
2612053;"Połaniec (3)";75;
2612062;"Rytwiany (2)";125;
2612073;"Staszów (3)";228;
2612083;"Szydłów (3)";108;
2613012;"Kluczewsko (2)";137;
2613022;"Krasocin (2)";193;
2613032;"Moskorzew (2)";73;
2613042;"Radków (2)";88;
2613052;"Secemin (2)";163;
2613063;"Włoszczowa (3)";254;
2661011;"Kielce (1)";110;
2801011;"Bartoszyce (1)";11;
2801021;"Górowo Iławeckie (1)";3;
2801032;"Bartoszyce (2)";428;
2801043;"Bisztynek (3)";203;
2801052;"Górowo Iławeckie (2)";416;
2801063;"Sępopol (3)";246;
2802011;"Braniewo (1)";12;
2802022;"Braniewo (2)";307;
2802033;"Frombork (3)";124;
2802042;"Lelkowo (2)";198;
2802053;"Pieniężno (3)";243;
2802062;"Płoskinia (2)";170;
2802072;"Wilczęta (2)";148;
2803011;"Działdowo (1)";11;
2803022;"Działdowo (2)";273;
2803032;"Iłowo-Osada (2)";104;
2803043;"Lidzbark (3)";255;
2803052;"Płośnica (2)";163;
2803062;"Rybno (2)";148;
2804012;"Elbląg (2)";192;
2804022;"Godkowo (2)";167;
2804032;"Gronowo Elbląskie (2)";89;
2804042;"Markusy (2)";110;
2804052;"Milejewo (2)";96;
2804063;"Młynary (3)";158;
2804073;"Pasłęk (3)";264;
2804082;"Rychliki (2)";132;
2804093;"Tolkmicko (3)";208;
2805011;"Ełk (1)";21;
2805022;"Ełk (2)";380;
2805032;"Kalinowo (2)";284;
2805042;"Prostki (2)";231;
2805052;"Stare Juchy (2)";197;
2806011;"Giżycko (1)";14;
2806042;"Giżycko (2)";296;
2806052;"Kruklanki (2)";202;
2806062;"Miłki (2)";170;
2806083;"Ryn (3)";205;
2806102;"Wydminy (2)";233;
2807011;"Iława (1)";22;
2807021;"Lubawa (1)";17;
2807032;"Iława (2)";424;
2807043;"Kisielice (3)";173;
2807052;"Lubawa (2)";236;
2807063;"Susz (3)";259;
2807073;"Zalewo (3)";254;
2808011;"Kętrzyn (1)";10;
2808022;"Barciany (2)";295;
2808032;"Kętrzyn (2)";285;
2808043;"Korsze (3)";250;
2808053;"Reszel (3)";179;
2808062;"Srokowo (2)";194;
2809011;"Lidzbark Warmiński (1)";14;
2809022;"Kiwity (2)";145;
2809032;"Lidzbark Warmiński (2)";373;
2809042;"Lubomino (2)";149;
2809053;"Orneta (3)";244;
2810011;"Mrągowo (1)";15;
2810023;"Mikołajki (3)";256;
2810032;"Mrągowo (2)";295;
2810042;"Piecki (2)";314;
2810052;"Sorkwity (2)";185;
2811012;"Janowiec Kościelny (2)";136;
2811022;"Janowo (2)";192;
2811032;"Kozłowo (2)";254;
2811043;"Nidzica (3)";379;
2812011;"Nowe Miasto Lubawskie (1)";11;
2812022;"Biskupiec (2)";242;
2812032;"Grodziczno (2)";154;
2812042;"Kurzętnik (2)";149;
2812052;"Nowe Miasto Lubawskie (2)";138;
2813032;"Kowale Oleckie (2)";251;
2813043;"Olecko (3)";267;
2813052;"Świętajno (2)";215;
2813062;"Wieliczki (2)";141;
2814013;"Barczewo (3)";320;
2814023;"Biskupiec (3)";290;
2814033;"Dobre Miasto (3)";259;
2814042;"Dywity (2)";161;
2814052;"Gietrzwałd (2)";172;
2814063;"Jeziorany (3)";211;
2814072;"Jonkowo (2)";169;
2814082;"Kolno (2)";179;
2814093;"Olsztynek (3)";372;
2814102;"Purda (2)";317;
2814112;"Stawiguda (2)";223;
2814122;"Świątki (2)";164;
2815011;"Ostróda (1)";14;
2815022;"Dąbrówno (2)";166;
2815032;"Grunwald (2)";180;
2815042;"Łukta (2)";186;
2815052;"Małdyty (2)";189;
2815063;"Miłakowo (3)";158;
2815073;"Miłomłyn (3)";161;
2815083;"Morąg (3)";311;
2815092;"Ostróda (2)";401;
2816013;"Biała Piska (3)";420;
2816023;"Orzysz (3)";363;
2816033;"Pisz (3)";634;
2816043;"Ruciane-Nida (3)";358;
2817011;"Szczytno (1)";11;
2817022;"Dźwierzuty (2)";263;
2817032;"Jedwabno (2)";312;
2817043;"Pasym (3)";149;
2817052;"Rozogi (2)";224;
2817062;"Szczytno (2)";346;
2817072;"Świętajno (2)";280;
2817083;"Wielbark (3)";348;
2818012;"Banie Mazurskie (2)";205;
2818022;"Dubeninki (2)";205;
2818033;"Gołdap (3)";362;
2819012;"Budry (2)";175;
2819022;"Pozezdrze (2)";177;
2819033;"Węgorzewo (3)";341;
2861011;"Elbląg (1)";80;
2862011;"Olsztyn (1)";88;
3001011;"Chodzież (1)";13;
3001022;"Budzyń (2)";209;
3001032;"Chodzież (2)";213;
3001043;"Margonin (3)";123;
3001053;"Szamocin (3)";127;
3002011;"Czarnków (1)";10;
3002022;"Czarnków (2)";346;
3002032;"Drawsko (2)";163;
3002043;"Krzyż Wielkopolski (3)";174;
3002052;"Lubasz (2)";167;
3002062;"Połajewo (2)";142;
3002073;"Trzcianka (3)";374;
3002083;"Wieleń (3)";430;
3003011;"Gniezno (1)";41;
3003023;"Czerniejewo (3)";112;
3003032;"Gniezno (2)";178;
3003042;"Kiszkowo (2)";114;
3003053;"Kłecko (3)";132;
3003062;"Łubowo (2)";114;
3003072;"Mieleszyn (2)";99;
3003082;"Niechanowo (2)";105;
3003093;"Trzemeszno (3)";175;
3003103;"Witkowo (3)";185;
3004013;"Borek Wielkopolski (3)";128;
3004023;"Gostyń (3)";137;
3004033;"Krobia (3)";130;
3004042;"Pępowo (2)";86;
3004052;"Piaski (2)";100;
3004063;"Pogorzela (3)";97;
3004073;"Poniec (3)";132;
3005012;"Granowo (2)";67;
3005023;"Grodzisk Wielkopolski (3)";133;
3005032;"Kamieniec (2)";133;
3005043;"Rakoniewice (3)";201;
3005053;"Wielichowo (3)";108;
3006013;"Jaraczewo (3)";133;
3006023;"Jarocin (3)";200;
3006032;"Kotlin (2)";84;
3006043;"Żerków (3)";170;
3007012;"Blizanów (2)";158;
3007022;"Brzeziny (2)";127;
3007032;"Ceków-Kolonia (2)";88;
3007042;"Godziesze Wielkie (2)";105;
3007052;"Koźminek (2)";89;
3007062;"Lisków (2)";76;
3007072;"Mycielin (2)";111;
3007083;"Opatówek (3)";104;
3007093;"Stawiszyn (3)";78;
3007102;"Szczytniki (2)";110;
3007112;"Żelazków (2)";114;
3008012;"Baranów (2)";74;
3008022;"Bralin (2)";85;
3008033;"Kępno (3)";124;
3008042;"Łęka Opatowska (2)";78;
3008052;"Perzów (2)";75;
3008062;"Rychtal (2)";97;
3008072;"Trzcinica (2)";75;
3009011;"Koło (1)";14;
3009022;"Babiak (2)";134;
3009032;"Chodów (2)";78;
3009043;"Dąbie (3)";130;
3009052;"Grzegorzew (2)";73;
3009063;"Kłodawa (3)";129;
3009072;"Koło (2)";103;
3009082;"Kościelec (2)";105;
3009092;"Olszówka (2)";82;
3009102;"Osiek Mały (2)";87;
3009113;"Przedecz (3)";76;
3010013;"Golina (3)";99;
3010022;"Grodziec (2)";118;
3010032;"Kazimierz Biskupi (2)";108;
3010043;"Kleczew (3)";110;
3010052;"Kramsk (2)";132;
3010062;"Krzymów (2)";92;
3010073;"Rychwał (3)";118;
3010082;"Rzgów (2)";105;
3010092;"Skulsk (2)";85;
3010103;"Sompolno (3)";137;
3010112;"Stare Miasto (2)";98;
3010123;"Ślesin (3)";146;
3010132;"Wierzbinek (2)";147;
3010142;"Wilczyn (2)";83;
3011011;"Kościan (1)";9;
3011023;"Czempiń (3)";142;
3011032;"Kościan (2)";202;
3011043;"Krzywiń (3)";179;
3011053;"Śmigiel (3)";190;
3012011;"Sulmierzyce (1)";29;
3012023;"Kobylin (3)";112;
3012033;"Koźmin Wielkopolski (3)";152;
3012043;"Krotoszyn (3)";256;
3012052;"Rozdrażew (2)";80;
3012063;"Zduny (3)";85;
3013012;"Krzemieniewo (2)";113;
3013022;"Lipno (2)";104;
3013033;"Osieczna (3)";129;
3013043;"Rydzyna (3)";136;
3013052;"Święciechowa (2)";134;
3013062;"Wijewo (2)";62;
3013072;"Włoszakowice (2)";128;
3014012;"Chrzypsko Wielkie (2)";85;
3014022;"Kwilcz (2)";141;
3014033;"Międzychód (3)";307;
3014043;"Sieraków (3)";203;
3015012;"Kuślin (2)";106;
3015023;"Lwówek (3)";184;
3015032;"Miedzichowo (2)";209;
3015043;"Nowy Tomyśl (3)";186;
3015053;"Opalenica (3)";149;
3015063;"Zbąszyń (3)";180;
3016013;"Oborniki (3)";340;
3016023;"Rogoźno (3)";216;
3016032;"Ryczywół (2)";155;
3017011;"Ostrów Wielkopolski (1)";42;
3017023;"Nowe Skalmierzyce (3)";125;
3017033;"Odolanów (3)";136;
3017042;"Ostrów Wielkopolski (2)";208;
3017052;"Przygodzice (2)";163;
3017063;"Raszków (3)";135;
3017072;"Sieroszewice (2)";163;
3017082;"Sośnie (2)";188;
3018012;"Czajków (2)";71;
3018022;"Doruchów (2)";99;
3018033;"Grabów nad Prosną (3)";124;
3018042;"Kobyla Góra (2)";130;
3018052;"Kraszewice (2)";75;
3018063;"Mikstat (3)";87;
3018073;"Ostrzeszów (3)";187;
3019011;"Piła (1)";103;
3019022;"Białośliwie (2)";76;
3019032;"Kaczory (2)";151;
3019043;"Łobżenica (3)";191;
3019052;"Miasteczko Krajeńskie (2)";71;
3019062;"Szydłowo (2)";266;
3019073;"Ujście (3)";128;
3019083;"Wyrzysk (3)";159;
3019093;"Wysoka (3)";123;
3020013;"Chocz (3)";74;
3020022;"Czermin (2)";98;
3020033;"Dobrzyca (3)";117;
3020042;"Gizałki (2)";108;
3020052;"Gołuchów (2)";136;
3020063;"Pleszew (3)";180;
3021011;"Luboń (1)";14;
3021021;"Puszczykowo (1)";16;
3021033;"Buk (3)";91;
3021042;"Czerwonak (2)";82;
3021052;"Dopiewo (2)";108;
3021062;"Kleszczewo (2)";74;
3021072;"Komorniki (2)";66;
3021083;"Kostrzyn (3)";155;
3021093;"Kórnik (3)";186;
3021103;"Mosina (3)";172;
3021113;"Murowana Goślina (3)";172;
3021123;"Pobiedziska (3)";189;
3021132;"Rokietnica (2)";79;
3021143;"Stęszew (3)";175;
3021152;"Suchy Las (2)";117;
3021163;"Swarzędz (3)";102;
3021172;"Tarnowo Podgórne (2)";102;
3022013;"Bojanowo (3)";124;
3022023;"Jutrosin (3)";115;
3022033;"Miejska Górka (3)";103;
3022042;"Pakosław (2)";78;
3022053;"Rawicz (3)";134;
3023011;"Słupca (1)";10;
3023022;"Lądek (2)";99;
3023032;"Orchowo (2)";98;
3023042;"Ostrowite (2)";104;
3023052;"Powidz (2)";81;
3023062;"Słupca (2)";144;
3023072;"Strzałkowo (2)";142;
3023083;"Zagórów (3)";160;
3024011;"Obrzycko (1)";4;
3024022;"Duszniki (2)";155;
3024032;"Kaźmierz (2)";128;
3024042;"Obrzycko (2)";111;
3024053;"Ostroróg (3)";85;
3024063;"Pniewy (3)";158;
3024073;"Szamotuły (3)";176;
3024083;"Wronki (3)";302;
3025012;"Dominowo (2)";79;
3025022;"Krzykosy (2)";111;
3025032;"Nowe Miasto nad Wartą (2)";120;
3025043;"Środa Wielkopolska (3)";207;
3025052;"Zaniemyśl (2)";107;
